,Aminoglycoside,Glycopeptide,Lipoglycopeptide,Lipopeptide,Macrolide,Oxazolidinone,Penicilin,Streptogramin,Tetracycline
1352_1810,S,R,R,,,S,R,S,S
1352_10976,,S,,,,,,,
1352_8038,S,S,,,R,,S,,
1352_12009,,R,,,,,,,
1352_1835,R,R,R,,,S,R,S,S
1352_1853,R,R,R,,,S,R,S,S
1352_11623,,R,,,,,,,
1352_8015,S,S,,,R,,S,,
1352_1878,R,R,R,,,S,R,S,S
1352_17842,,S,,,R,R,R,,
1352_1889,R,R,R,,,S,R,S,S
1352_1845,S,R,R,,,S,R,R,S
1352_7869,,R,,S,,R,,,
1352_11259,,R,,,,,,,
1352_17803,,R,,,R,S,R,,
1352_1777,R,R,R,,,S,R,S,S
1352_17828,,R,,,R,S,R,,
1352_1807,S,R,R,,,S,R,S,S
1352_18003,,,,R,,,,,
1352_1892,R,R,R,,,S,R,S,S
1352_11948,,S,,,,,,,
1352_1924,R,R,R,,,S,R,S,S
1352_8032,S,S,,,R,,S,,
1352_18058,,S,,S,R,S,,,S
1352_18048,,,,R,,,,,
1352_1784,R,R,R,,,S,R,S,S
1352_1874,R,R,R,,,S,R,S,S
1352_17941,,,,S,,,,,
1352_11758,,R,,,,,,,
1352_11630,,S,,,,,,,
1352_11466,,R,,,,,,,
1352_17877,,,,S,,,,,
1352_1831,R,R,R,,,S,R,S,S
1352_1865,R,S,S,,,S,R,S,S
1352_1920,R,S,S,,,S,R,S,S
1352_1896,R,R,R,,,S,R,S,S
1352_1868,R,S,S,,,S,R,S,S
1352_8060,,S,,,R,,,,
1352_11617,,S,,,,,,,
1352_1806,R,R,R,,,S,R,S,S
1352_1775,R,R,R,,,S,R,S,S
1352_1790,R,R,R,,,S,R,S,S
1352_8023,S,S,,,R,,S,,
1352_1882,R,R,R,,,S,R,S,S
1352_8051,S,S,,,R,,S,,
1352_11994,,S,,,,,,,
1352_1873,R,R,R,,,S,R,S,S
1352_8027,S,S,,,R,,S,,
1352_17903,,,,S,,,,,
1352_11829,,R,,,,,,,
1352_8028,S,S,,,R,,S,,
1352_1842,S,R,R,,,S,R,S,S
1352_1940,R,R,R,,,S,R,S,S
1352_1794,R,R,R,,,S,R,S,S
1352_11337,,R,,,,,,,
1352_1919,R,R,R,,,S,R,S,S
1352_17799,,R,,,R,S,R,,
1352_10977,,S,,,,,,,
1352_7891,,R,,S,,R,,,
1352_1796,R,R,R,,,S,R,S,S
1352_1872,R,R,R,,,S,R,S,S
1352_1901,R,R,R,,,S,R,S,S
1352_1763,R,R,R,,,S,R,S,S
1352_17980,,,,S,,,,,
1352_17802,,R,,,R,R,R,,
1352_18061,S,R,R,R,,S,R,S,S
1352_11443,,R,,,,,,,
1352_1911,R,R,R,,,S,R,R,S
1352_1487,,R,,,,,,,
1352_1815,R,R,R,,,S,R,S,S
1352_17817,,R,,,R,S,R,,
1352_11554,,R,,,,,,,
1352_11543,,S,,,,,,,
1352_1859,R,R,R,,,S,R,S,S
1352_1886,R,R,R,,,S,R,S,S
1352_17793,,S,,,R,S,R,,
1352_11508,,R,,,,,,,
1352_7972,S,S,,,R,,S,,
1352_11890,,R,,,,,,,
1352_1823,R,R,R,,,S,R,S,S
1352_1776,R,R,R,,,S,R,S,S
1352_17813,,S,,,R,S,R,,
1352_18016,,,,S,,,,,
1352_11739,,R,,,,,,,
1352_7883,,R,,S,,R,,,
1352_11473,,S,,,,,,,
1352_1905,R,R,R,,,S,R,S,S
1352_17901,,,,S,,,,,
1352_11331,,S,,,,,,,
1352_17815,R,S,,,R,S,R,,
1352_1914,S,R,R,,,S,R,S,S
1352_7886,,R,,S,,R,,,
1352_8048,S,S,,,R,,S,,
1352_1492,,S,,,,,,,
1352_1941,S,R,R,,,S,R,R,S
1352_1909,R,R,R,,,S,R,S,S
1352_1898,S,S,S,,,S,R,S,S
1352_7870,,,,S,,R,,,
1352_11644,,R,,,,,,,
1352_8056,S,S,,,R,,S,,
1352_17816,,S,,,R,S,R,,
1352_18009,,,,S,,,,,
1352_11429,,S,,,,,,,
1352_1895,S,R,R,,,S,R,S,S
1352_1791,R,R,R,,,S,R,S,S
1352_1828,S,R,R,,,S,R,R,S
1352_1829,S,R,R,,,S,R,S,S
1352_18077,S,R,,R,,S,R,,S
1352_11436,,S,,,,,,,
1352_11442,,S,,,,,,,
1352_1890,R,R,R,,,S,R,S,S
1352_1458,,S,,,,,,,
1352_1795,R,S,S,,,S,R,S,S
1352_1921,R,R,R,,,S,R,S,S
1352_18053,,S,,S,R,S,,S,S
1352_11901,,R,,,,,,,
1352_8062,,S,,,R,,,,
1352_8034,S,S,,,R,,S,,
1352_3598,,R,R,,,S,R,,
1352_18074,S,R,R,R,,S,R,S,R
1352_11741,,R,,,,,,,
1352_18046,,,,S,,,,,
1352_1897,R,R,R,,,S,R,S,S
1352_11264,,S,,,,,,,
1352_1841,R,R,R,,,S,R,S,S
1352_1816,S,R,R,,,S,R,R,S
1352_1782,R,R,R,,,S,R,S,S
1352_1771,S,R,R,,,S,R,R,S
1352_18056,,S,,S,R,S,,S,S
1352_1883,S,R,R,,,S,R,S,S
1352_10962,,R,,,,,,,
1352_11299,,S,,,,,,,
1352_8045,S,S,,,R,,S,,
1352_1809,R,R,R,,,S,R,S,S
1352_17886,,,,S,,,,,
1352_1887,S,R,R,,,S,R,S,S
1352_17879,,,,S,,,,,
1352_1773,R,R,R,,,S,R,S,S
1352_17809,R,S,,,R,S,R,,
1352_17806,,R,,,R,S,R,,
1352_11661,,R,,,,,,,
1352_11987,,R,,,,,,,
1352_1839,R,S,S,,,S,R,S,S
1352_11983,,R,,,,,,,
1352_12005,,R,,,,,,,
1352_11871,,R,,,,,,,
1352_18075,S,S,S,R,,S,R,S,S
1352_1770,S,R,R,,,S,R,R,S
1352_11869,,R,,,,,,,
1352_11713,,R,,,,,,,
1352_11292,,S,,,,,,,
1352_17827,,R,,,R,R,R,,
1352_11591,,S,,,,,,,
1352_11289,,S,,,,,,,
1352_11624,,S,,,,,,,
1352_7874,,R,,S,,R,,,
1352_1496,,R,,,,,,,
1352_18022,,,,S,,,,,
1352_18037,,,,S,,,,,
1352_8061,,S,,,R,,,,
1352_17943,,,,S,,,,,
1352_17795,,R,,,R,S,R,,
1352_1884,R,R,R,,,S,R,S,S
1352_11271,,R,,,,,,,
1352_11831,,R,,,,,,,
1352_1802,R,R,R,,,S,R,S,S
1352_1459,,S,,,,,,,
1352_1852,R,S,S,,,S,R,S,S
1352_1862,R,R,R,,,S,R,S,S
1352_17794,R,R,,,R,R,R,,
1352_18076,R,S,S,R,,S,R,S,S
1352_11992,,R,,,,,,,
1352_7882,,R,,S,,R,,,
1352_11892,,R,,,,,,,
1352_18069,S,S,S,R,,S,R,S,R
1352_17927,,,,S,,,,,
1352_10965,,R,,,,,,,
1352_1805,R,R,R,,,S,R,S,S
1352_1461,,R,,,,,,,
1352_11338,,R,,,,,,,
1352_17832,,R,,,R,S,R,,
1352_11775,,R,,,,,,,
1352_1843,R,S,S,,,S,R,S,S
1352_11716,,R,,,,,,,
1352_18059,,S,,S,R,S,,S,S
1352_11690,,R,,,,,,,
1352_1885,R,R,R,,,S,R,S,S
1352_11702,,S,,,,,,,
1352_1789,R,S,S,,,S,R,S,S
1352_1912,S,R,R,,,S,R,S,S
1352_8064,,S,,,R,,,,
1352_10974,,S,,,,,,,
1352_10948,,S,,,,,,,
1352_7846,,S,,S,,S,,,
1352_1915,S,R,R,,,S,R,S,S
1352_7872,,R,,S,,R,,,
1352_1786,R,R,R,,,S,R,S,S
1352_11826,,R,,,,,,,
1352_11781,,R,,,,,,,
1352_1565,,S,,,,,,,
1352_18034,,,,R,,,,,
1352_17819,,S,,,R,S,R,,
1352_11883,,R,,,,,,,
1352_11884,,R,,,,,,,
1352_11600,,S,,,,,,,
1352_1798,R,R,R,,,S,R,S,S
1352_11935,,S,,,,,,,
1352_7847,,R,,S,,R,,,
1352_11563,,R,,,,,,,
1352_10967,,R,,,,,,,
1352_11791,,R,,,,,,,
1352_11364,,S,,,,,,,
1352_17808,R,R,,,R,S,R,,
1352_11456,,R,,,,,,,
1352_1491,,S,,,,,,,
1352_18091,S,S,S,S,,R,R,S,S
1352_7867,,R,,S,,R,,,
1352_11730,,R,,,,,,,
1352_11877,,R,,,,,,,
1352_8031,S,S,,,R,,,,
1352_8029,S,S,,,R,,S,,
1352_11315,,S,,,,,,,
1352_11865,,R,,,,,,,
1352_1891,R,R,R,,,S,R,S,S
1352_1799,R,R,R,,,S,R,S,S
1352_1488,,S,,,,,,,
1352_11462,,S,,,,,,,
1352_7859,,R,,S,,R,,,
1352_7973,S,S,,,R,,S,,
1352_11582,,S,,,,,,,
1352_18023,,,,R,,,,,
1352_11506,,S,,,,,,,
1352_1923,S,R,R,,,S,R,R,S
1352_11770,,R,,,,,,,
1352_8033,S,S,,,R,,S,,
1352_11913,,S,,,,,,,
1352_11789,,R,,,,,,,
1352_17910,,,,S,,,,,
1352_17812,,R,,,R,S,R,,
1352_1568,,S,,,,,,,
1352_17939,,,,S,,,,,
1352_17956,,,,S,,,,,
1352_12015,,R,,,,,,,
1352_17805,,R,,,R,R,R,,
1352_7865,,S,,S,,R,,,
1352_1875,R,R,R,,,S,R,S,S
1352_17800,,R,,,R,S,R,,
1352_1847,R,R,R,,,S,R,S,S
1352_18006,,,,R,,,,,
1352_11312,,R,,,,,,,
1352_17839,,R,,,R,S,R,,
1352_17945,,,,S,,,,,
1352_11848,,R,,,,,,,
1352_8018,S,S,,,R,,S,,
1352_11797,,R,,,,,,,
1352_11304,,R,,,,,,,
1352_1765,R,R,R,,,S,R,S,S
1352_1785,R,R,R,,,S,R,S,S
1352_11939,,S,,,,,,,
1352_8057,S,S,,,R,,S,,
1352_11772,,R,,,,,,,
1352_10968,,R,,,,,,,
1352_18049,,,,R,,,,,
1352_1850,R,R,R,,,S,R,S,S
1352_17907,,,,S,,,,,
1352_1769,R,R,R,,,S,R,S,S
1352_11519,,S,,,,,,,
1352_17826,R,S,,,R,S,R,,
1352_11489,,S,,,,,,,
1352_17965,,,,R,,,,,
1352_11920,,S,,,,,,,
1352_11876,,R,,,,,,,
1352_11318,,S,,,,,,,
1352_11854,,R,,,,,,,
1352_1925,S,R,R,,,S,R,R,S
1352_11491,,S,,,,,,,
1352_18055,,S,,S,R,S,,S,S
1352_1817,S,R,R,,,S,R,R,S
1352_7863,,R,,S,,R,,,
1352_11639,,S,,,,,,,
1352_7879,,R,,S,,S,,,
1352_17931,,,,S,,,,,
1352_11721,,R,,,,,,,
1352_11956,,S,,,,,,,
1352_1858,S,S,S,,,S,R,S,S
1352_17836,,R,,,R,R,R,,
1352_11393,,R,,,,,,,
1352_11468,,S,,,,,,,
1352_8050,S,S,,,R,,S,,
1352_11868,,R,,,,,,,
1352_18062,S,R,R,R,,S,R,S,S
1352_11576,,S,,,,,,,
1352_11729,,R,,,,,,,
1352_11557,,R,,,,,,,
1352_11471,,R,,,,,,,
1352_8052,S,S,,,R,,S,,
1352_7974,S,S,,,R,,S,,
1352_17963,,,,S,,,,,
1352_11918,,S,,,,,,,
1352_17955,,,,S,,,,,
1352_11332,,S,,,,,,,
1352_7866,,R,,S,,R,,,
1352_12012,,S,,,,,,,
1352_17823,,R,,,R,S,R,,
1352_18031,,,,R,,,,,
1352_1900,S,R,R,,,S,R,R,S
1352_17922,,,,S,,,,,
1352_17811,,R,,,R,R,R,,
1352_17884,,,,S,,,,,
1352_8026,S,S,,,R,,S,,
1352_10942,,R,,,,,,,
1352_1468,,R,,,,,,,
1352_11573,,R,,,,,,,
1352_1579,,R,,,,,,,
1352_1899,S,R,R,,,S,R,R,S
1352_17810,,R,,,R,S,R,,
1352_11728,,R,,,,,,,
1352_1490,,S,,,,,,,
1352_17798,,R,,,R,S,R,,
1352_11799,,R,,,,,,,
1352_18004,,,,R,,,,,
1352_18064,S,S,S,R,,S,R,S,S
1352_17871,,,,R,,,,,
1352_8042,S,S,,,R,,,,
1352_17820,,R,,,R,S,R,,
1352_11886,,R,,,,,,,
1352_17983,,,,S,,,,,
1352_1880,R,R,R,,,S,R,S,S
1352_11380,,S,,,,,,,
1352_11857,,R,,,,,,,
1352_17835,S,R,,,R,S,R,,
1352_1562,,R,,,,,,,
1352_11734,,R,,,,,,,
1352_11628,,S,,,,,,,
1352_1876,R,R,R,,,S,R,S,S
1352_11961,,S,,,,,,,
1352_11825,,R,,,,,,,
1352_11762,,R,,,,,,,
1352_1519,,R,,,,,,,
1352_7885,,,,S,,R,,,
1352_18013,,,,R,,,,,
1352_7860,,R,,S,,R,,,
1352_11351,,R,,,,,,,
1352_1881,R,R,R,,,S,R,S,S
1352_11684,,R,,,,,,,
1352_10943,,S,,,,,,,
1352_18005,,,,R,,,,,
1352_10950,,S,,,,,,,
1352_11666,,S,,,,,,,
1352_11378,,R,,,,,,,
1352_11795,,R,,,,,,,
1352_17829,,R,,,R,S,R,,
1352_17993,,,,R,,,,,
