,Aminoglycoside,Glycopeptide,Lipoglycopeptide,Lipopeptide,Macrolide,Oxazolidinone,Penicilin,Streptogramin,Tetracycline
1352_8022,S,S,,,R,,S,,
1352_17880,,,,S,,,,,
1352_1477,,R,,,,,,,
1352_18008,,,,S,,,,,
1352_11301,,R,,,,,,,
1352_12016,,R,,,,,,,
1352_11801,,R,,,,,,,
1352_11949,,S,,,,,,,
1352_17924,,,,S,,,,,
1352_11589,,S,,,,,,,
1352_1522,,S,,,,,,,
1352_17898,,,,S,,,,,
1352_11441,,R,,,,,,,
1352_11718,,R,,,,,,,
1352_1540,,S,,,,,,,
1352_17914,,,,S,,,,,
1352_11574,,R,,,,,,,
1352_18027,,,,R,,,,,
1352_11422,,R,,,,,,,
1352_11866,,R,,,,,,,
1352_8066,,S,,,R,,,,
1352_1518,,S,,,,,,,
1352_11385,,S,,,,,,,
1352_1566,,S,,,,,,,
1352_11782,,R,,,,,,,
1352_11432,,S,,,,,,,
1352_17928,,,,S,,,,,
1352_11267,,R,,,,,,,
1352_18014,,,,S,,,,,
1352_11687,,S,,,,,,,
1352_17981,,,,S,,,,,
1352_17882,,,,S,,,,,
1352_11527,,R,,,,,,,
1352_11309,,R,,,,,,,
1352_11858,,R,,,,,,,
1352_11517,,S,,,,,,,
1352_11677,,S,,,,,,,
1352_10951,,S,,,,,,,
1352_11774,,R,,,,,,,
1352_11455,,R,,,,,,,
1352_1526,,S,,,,,,,
1352_10947,,R,,,,,,,
1352_11654,,S,,,,,,,
1352_11750,,R,,,,,,,
1352_11273,,S,,,,,,,
1352_1572,,S,,,,,,,
1352_1507,,S,,,,,,,
1352_1584,,R,,,,,,,
1352_11847,,R,,,,,,,
1352_11731,,R,,,,,,,
1352_17926,,,,S,,,,,
1352_11451,,S,,,,,,,
1352_18020,,,,S,,,,,
1352_11695,,R,,,,,,,
1352_1538,,R,,,,,,,
1352_11843,,R,,,,,,,
1352_17893,,,,S,,,,,
1352_17870,,,,R,,,,,
1352_1762,R,R,R,,,S,R,S,S
1352_11401,,R,,,,,,,
1352_11881,,R,,,,,,,
1352_12011,,S,,,,,,,
1352_11754,,R,,,,,,,
1352_8065,,S,,,R,,,,
1352_17976,,,,R,,,,,
1352_1514,,R,,,,,,,
1352_18039,,,,S,,,,,
1352_18038,,,,S,,,,,
1352_1486,,S,,,,,,,
1352_11800,,R,,,,,,,
1352_1575,,S,,,,,,,
1352_1577,,S,,,,,,,
1352_1554,,R,,,,,,,
1352_11845,,R,,,,,,,
1352_1589,,S,,,,,,,
1352_11749,,R,,,,,,,
1352_1502,,S,,,,,,,
1352_1510,,S,,,,,,,
1352_1476,,R,,,,,,,
1352_11549,,S,,,,,,,
1352_11518,,R,,,,,,,
1352_1588,,R,,,,,,,
1352_17916,,,,S,,,,,
1352_17889,,,,S,,,,,
1352_17894,,,,S,,,,,
1352_17899,,,,S,,,,,
1352_11915,,S,,,,,,,
1352_17952,,,,S,,,,,
1352_11736,,R,,,,,,,
1352_11738,,R,,,,,,,
1352_11862,,R,,,,,,,
1352_17896,,,,S,,,,,
1352_11851,,R,,,,,,,
1352_1536,,R,,,,,,,
1352_11971,,S,,,,,,,
1352_8020,S,S,,,R,,S,,
1352_11560,,R,,,,,,,
1352_11495,,S,,,,,,,
1352_11581,,R,,,,,,,
1352_11449,,S,,,,,,,
1352_11391,,S,,,,,,,
1352_11288,,R,,,,,,,
1352_11396,,R,,,,,,,
1352_7856,,R,,S,,R,,,
1352_11392,,S,,,,,,,
1352_11357,,S,,,,,,,
1352_11910,,S,,,,,,,
1352_17796,,R,,,R,S,R,,
1352_17966,,,,R,,,,,
1352_18029,,,,S,,,,,
1352_11673,,S,,,,,,,
1352_11340,,R,,,,,,,
1352_11577,,S,,,,,,,
1352_11437,,S,,,,,,,
1352_8035,S,S,,,,,S,,
1352_11719,,R,,,,,,,
1352_11963,,S,,,,,,,
1352_1563,,S,,,,,,,
1352_11535,,S,,,,,,,
1352_17985,,,,S,,,,,
1352_11966,,S,,,,,,,
1352_1557,,R,,,,,,,
1352_17905,,,,S,,,,,
1352_11946,,S,,,,,,,
1352_7875,,,,,,R,,,
1352_11287,,S,,,,,,,
1352_11347,,R,,,,,,,
1352_11370,,R,,,,,,,
1352_11917,,S,,,,,,,
1352_10969,,R,,,,,,,
1352_11569,,R,,,,,,,
1352_1475,,S,,,,,,,
1352_1564,,R,,,,,,,
1352_10954,,S,,,,,,,
1352_8040,S,S,,,R,,S,,
1352_11896,,S,,,,,,,
1352_17954,,,,S,,,,,
1352_17932,,,,S,,,,,
1352_12025,,R,,,,,,,
1352_11410,,R,,,,,,,
1352_7873,,S,,S,,R,,,
1352_11839,,R,,,,,,,
1352_17998,,,,S,,,,,
1352_1497,,S,,,,,,,
1352_11545,,R,,,,,,,
1352_11595,,S,,,,,,,
1352_17938,,,,S,,,,,
1352_17906,,,,S,,,,,
1352_11431,,S,,,,,,,
1352_11484,,R,,,,,,,
1352_11951,,S,,,,,,,
1352_11792,,R,,,,,,,
1352_11615,,R,,,,,,,
1352_1537,,R,,,,,,,
1352_8054,S,S,,,,,S,,
1352_11500,,S,,,,,,,
1352_11452,,R,,,,,,,
1352_11632,,R,,,,,,,
1352_1499,,R,,,,,,,
1352_10960,,S,,,,,,,
1352_11336,,S,,,,,,,
1352_11435,,R,,,,,,,
1352_17881,,,,S,,,,,
1352_7864,,R,,S,,R,,,
1352_11667,,R,,,,,,,
1352_12008,,R,,,,,,,
1352_1569,,R,,,,,,,
1352_11334,,R,,,,,,,
1352_11968,,R,,,,,,,
1352_11947,,S,,,,,,,
1352_11841,,R,,,,,,,
1352_18010,,,,R,,,,,
1352_17979,,,,R,,,,,
1352_10938,,S,,,,,,,
1352_1533,,S,,,,,,,
1352_17887,,,,S,,,,,
1352_11412,,S,,,,,,,
1352_11558,,S,,,,,,,
1352_17902,,,,S,,,,,
1352_11996,,S,,,,,,,
1352_12006,,R,,,,,,,
1352_11806,,R,,,,,,,
1352_11262,,R,,,,,,,
1352_11394,,S,,,,,,,
1352_1558,,S,,,,,,,
1352_11852,,R,,,,,,,
1352_17923,,,,S,,,,,
1352_17918,,,,S,,,,,
1352_17951,,,,S,,,,,
1352_11572,,R,,,,,,,
1352_11371,,S,,,,,,,
1352_1481,,S,,,,,,,
1352_17949,,,,S,,,,,
1352_1583,,S,,,,,,,
1352_11678,,R,,,,,,,
1352_17937,,,,S,,,,,
1352_11475,,R,,,,,,,
1352_11459,,S,,,,,,,
1352_17912,,,,S,,,,,
1352_18024,,,,R,,,,,
1352_11529,,R,,,,,,,
1352_8037,,S,,,R,,,,
1352_11552,,S,,,,,,,
1352_11767,,R,,,,,,,
1352_18018,,,,S,,,,,
1352_18040,,,,S,,,,,
1352_1463,,S,,,,,,,
1352_17885,,,,S,,,,,
1352_11863,,R,,,,,,,
1352_17971,,,,R,,,,,
1352_18017,,,,S,,,,,
1352_18028,,,,R,,,,,
1352_11629,,S,,,,,,,
1352_11268,,R,,,,,,,
1352_18021,,,,S,,,,,
1352_17947,,,,S,,,,,
1352_11362,,S,,,,,,,
1352_1555,,S,,,,,,,
1352_1535,,S,,,,,,,
1352_11514,,S,,,,,,,
1352_10958,,S,,,,,,,
1352_11898,,R,,,,,,,
1352_11425,,R,,,,,,,
1352_17984,,,,S,,,,,
1352_11511,,S,,,,,,,
1352_11467,,S,,,,,,,
1352_11722,,R,,,,,,,
1352_11408,,S,,,,,,,
1352_17977,,,,R,,,,,
1352_11976,,S,,,,,,,
1352_11579,,S,,,,,,,
1352_11988,,S,,,,,,,
1352_1473,,R,,,,,,,
1352_17973,,,,R,,,,,
1352_11810,,R,,,,,,,
1352_11367,,R,,,,,,,
1352_11323,,R,,,,,,,
565664_22,,R,,,,,,,
1352_11407,,R,,,,,,,
1352_11934,,S,,,,,,,
1352_11769,,R,,,,,,,
1352_10946,,S,,,,,,,
1352_11360,,R,,,,,,,
1352_11388,,S,,,,,,,
1352_11501,,S,,,,,,,
1352_11757,,R,,,,,,,
1352_11723,,R,,,,,,,
1352_1527,,S,,,,,,,
1352_8036,,S,,,R,,,,
1352_10952,,R,,,,,,,
1352_11962,,S,,,,,,,
1352_11993,,S,,,,,,,
1352_10937,,S,,,,,,,
1352_11369,,S,,,,,,,
1352_11420,,S,,,,,,,
1352_17895,,,,S,,,,,
1352_17824,,R,,,R,S,R,,
1352_18012,,,,S,,,,,
1352_11608,,S,,,,,,,
1352_11341,,R,,,,,,,
1352_18092,,,,R,,,,,
1352_11776,,R,,,,,,,
1352_17999,,,,S,,,,,
1352_11904,,S,,,,,,,
1352_11485,,R,,,,,,,
1352_17946,,,,S,,,,,
1352_11389,,S,,,,,,,
1352_11697,,S,,,,,,,
1352_11735,,R,,,,,,,
1352_7876,,,,R,,R,,,
1352_11534,,R,,,,,,,
1352_1543,,S,,,,,,,
1352_11368,,S,,,,,,,
1352_11586,,R,,,,,,,
1352_11297,,S,,,,,,,
1352_11575,,S,,,,,,,
1352_11463,,S,,,,,,,
1352_11692,,S,,,,,,,
1352_11325,,S,,,,,,,
1352_11345,,S,,,,,,,
1352_11807,,R,,,,,,,
1352_17968,,,,R,,,,,
1352_18025,,,,S,,,,,
1352_11472,,R,,,,,,,
1352_12007,,R,,,,,,,
1352_17900,,,,S,,,,,
1352_11887,,R,,,,,,,
1352_11418,,R,,,,,,,
1352_11856,,R,,,,,,,
1352_11875,,R,,,,,,,
1352_17930,,,,S,,,,,
1352_1460,,S,,,,,,,
1352_11995,,R,,,,,,,
1352_11930,,S,,,,,,,
1352_11513,,R,,,,,,,
1352_11538,,S,,,,,,,
1352_10944,,S,,,,,,,
1352_11761,,R,,,,,,,
1352_11421,,S,,,,,,,
1352_1494,,S,,,,,,,
1352_11867,,R,,,,,,,
1352_11813,,R,,,,,,,
1352_1466,,R,,,,,,,
1352_1560,,S,,,,,,,
1352_11787,,R,,,,,,,
1352_11374,,S,,,,,,,
1352_17891,,,,S,,,,,
1352_11565,,S,,,,,,,
1352_7878,,,,S,,R,,,
1352_17892,,,,S,,,,,
1352_11724,,R,,,,,,,
1352_11927,,S,,,,,,,
1352_17935,,,,S,,,,,
1352_11555,,R,,,,,,,
1352_11773,,R,,,,,,,
1352_18051,,,,S,,,,,
1352_11756,,S,,,,,,,
1352_11683,,S,,,,,,,
1352_17948,,,,S,,,,,
1352_1515,,R,,,,,,,
1352_11413,,R,,,,,,,
1352_11502,,R,,,,,,,
1352_17940,,,,S,,,,,
1352_17961,,,,S,,,,,
1352_1464,,R,,,,,,,
1352_11977,,S,,,,,,,
1352_17942,,,,S,,,,,
1352_18032,,,,S,,,,,
1352_18030,,,,S,,,,,
1352_1531,,S,,,,,,,
1352_11281,,R,,,,,,,
1352_1503,,S,,,,,,,
1352_11496,,R,,,,,,,
1352_11434,,R,,,,,,,
1352_10966,,S,,,,,,,
1352_11709,,S,,,,,,,
1352_11522,,S,,,,,,,
1352_11583,,S,,,,,,,
1352_11567,,S,,,,,,,
1352_11932,,S,,,,,,,
1352_11814,,R,,,,,,,
1352_18033,,,,S,,,,,
1352_10955,,S,,,,,,,
1352_11571,,S,,,,,,,
1352_11653,,S,,,,,,,
1352_17934,,,,S,,,,,
1352_11878,,R,,,,,,,
1352_11512,,S,,,,,,,
1352_1551,,S,,,,,,,
1352_12010,,R,,,,,,,
1352_11960,,S,,,,,,,
1352_17866,,,,R,,,,,
1352_11838,,R,,,,,,,
1352_11803,,R,,,,,,,
1352_11821,,R,,,,,,,
1352_1523,,S,,,,,,,
1352_18011,,,,R,,,,,
1352_17989,,,,S,,,,,
1352_11551,,S,,,,,,,
1352_11291,,R,,,,,,,
1352_11744,,R,,,,,,,
1352_17992,,,,R,,,,,
1352_1548,,S,,,,,,,
1352_11547,,R,,,,,,,
1352_11383,,R,,,,,,,
1352_11498,,S,,,,,,,
1352_11469,,R,,,,,,,
1352_11504,,R,,,,,,,
1352_11720,,R,,,,,,,
1352_11637,,R,,,,,,,
1352_11955,,S,,,,,,,
1352_11344,,R,,,,,,,
1352_11714,,R,,,,,,,
1352_17904,,,,S,,,,,
1352_11689,,R,,,,,,,
1352_8058,,S,,,R,,,,
1352_11691,,S,,,,,,,
1352_1546,,R,,,,,,,
1352_11969,,S,,,,,,,
1352_17909,,,,S,,,,,
1352_11349,,S,,,,,,,
1352_17915,,,,S,,,,,
1352_11926,,S,,,,,,,
1352_11903,,R,,,,,,,
1352_1574,,S,,,,,,,
1352_17925,,,,S,,,,,
1352_17997,,,,S,,,,,
1352_1509,,R,,,,,,,
1352_10959,,R,,,,,,,
1352_11999,,R,,,,,,,
1352_11900,,S,,,,,,,
1352_11635,,S,,,,,,,
1352_11880,,R,,,,,,,
1352_11975,,S,,,,,,,
1352_11282,,S,,,,,,,
1352_11914,,S,,,,,,,
1352_1570,,S,,,,,,,
1352_11732,,R,,,,,,,
1352_11688,,R,,,,,,,
1352_18045,,,,S,,,,,
1352_11832,,R,,,,,,,
1352_11909,,S,,,,,,,
1352_11941,,S,,,,,,,
1352_11765,,S,,,,,,,
1352_11622,,S,,,,,,,
1352_11507,,R,,,,,,,
1352_11553,,S,,,,,,,
1352_11798,,R,,,,,,,
1352_11636,,S,,,,,,,
1352_11405,,S,,,,,,,
1352_10975,,R,,,,,,,
1352_10961,,S,,,,,,,
1352_1550,,S,,,,,,,
1352_11755,,R,,,,,,,
1352_11777,,R,,,,,,,
1352_11850,,R,,,,,,,
1352_11548,,R,,,,,,,
1352_17869,,,,R,,,,,
1352_11499,,R,,,,,,,
1352_11842,,R,,,,,,,
1352_10972,,S,,,,,,,
1352_11704,,S,,,,,,,
1352_11665,,R,,,,,,,
1352_1472,,S,,,,,,,
1352_10941,,S,,,,,,,
1352_11458,,R,,,,,,,
1352_11445,,R,,,,,,,
1352_1525,,R,,,,,,,
1352_11928,,S,,,,,,,
1352_11676,,R,,,,,,,
1352_11888,,R,,,,,,,
1352_12001,,R,,,,,,,
1352_11279,,S,,,,,,,
1352_1511,,R,,,,,,,
1352_1500,,R,,,,,,,
1352_11646,,R,,,,,,,
1352_11853,,R,,,,,,,
1352_17920,,,,S,,,,,
1352_11840,,R,,,,,,,
1352_11453,,S,,,,,,,
1352_11395,,R,,,,,,,
1352_1512,,R,,,,,,,
1352_17944,,,,S,,,,,
1352_1576,,S,,,,,,,
1352_11674,,S,,,,,,,
1352_11588,,R,,,,,,,
1352_18015,,,,S,,,,,
1352_11889,,R,,,,,,,
1352_17970,,,,R,,,,,
1352_11809,,R,,,,,,,
1352_17986,,,,S,,,,,
1352_1528,,R,,,,,,,
1352_11515,,S,,,,,,,
1352_11921,,S,,,,,,,
1352_1505,,R,,,,,,,
1352_11531,,R,,,,,,,
1352_11261,,R,,,,,,,
1352_10953,,R,,,,,,,
1352_11327,,R,,,,,,,
1352_11523,,R,,,,,,,
1352_11725,,R,,,,,,,
1352_11306,,S,,,,,,,
1352_1530,,R,,,,,,,
1352_11596,,R,,,,,,,
1352_11375,,S,,,,,,,
1352_11879,,R,,,,,,,
1352_10940,,R,,,,,,,
1352_1585,,R,,,,,,,
1352_10973,,S,,,,,,,
1352_1542,,R,,,,,,,
1352_11830,,R,,,,,,,
1352_18036,,,,S,,,,,
1352_11860,,R,,,,,,,
1352_11562,,R,,,,,,,
1352_11399,,S,,,,,,,
1352_1520,,S,,,,,,,
1352_11952,,S,,,,,,,
1352_18041,,,,R,,,,,
1352_17957,,,,S,,,,,
1352_11539,,S,,,,,,,
