,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Oxazolidinone,Penicilin,Phenicol,Tetracycline,nan
590_12468,S,R,,R,S,S,,,R,S,S,
85569_288,R,,,,S,R,,S,R,R,R,
590_14136,S,S,,S,S,S,,,S,S,R,
58712_64,R,S,,S,R,R,R,,R,S,R,
90371_5258,S,S,,S,S,S,,,R,S,,
28901_855,R,S,,S,S,S,S,,R,S,R,
54388_217,,,,,R,S,,,S,S,,
90371_5299,R,R,,S,R,R,,,R,R,,
85569_148,R,,,,R,R,,S,R,R,R,
90105_137,S,S,,S,S,S,S,,S,S,S,
59201_4144,,,S,R,S,R,S,,R,R,S,
90371_892,S,,,,S,R,,,R,R,,
90370_414,S,,,,S,S,,,S,S,S,
90370_4927,,,,,R,R,,,R,R,,
90370_2766,,,,S,R,R,,,R,R,,
590_16492,S,S,,S,S,S,,,S,S,R,
58712_74,S,S,,S,S,S,S,,S,S,S,
590_15970,S,R,,S,S,S,,,R,S,R,
149539_885,R,,,,,S,,,R,S,R,
590_15267,S,S,,S,S,S,,,S,R,R,
108619_45,R,R,,R,S,R,,,R,R,R,
590_12344,S,S,,S,S,S,,,S,S,R,
90370_4994,,,,,R,,,,,,,
590_12076,S,S,,S,S,S,,,S,S,R,
590_12075,S,S,,S,S,S,,,S,S,R,
54388_251,,,,,R,S,,,S,S,,
590_12431,S,S,,S,S,S,,,S,S,R,
28901_21087,,,S,R,R,R,,,R,,,
590_12512,S,S,,S,S,S,,,S,S,R,
90370_4818,,,,,R,S,,,S,S,,
590_16767,S,S,,S,S,S,,,R,S,R,
90370_3089,,,,S,R,S,,,S,S,,
54388_279,S,,,,S,S,S,,S,S,S,
90371_5488,S,,S,R,S,R,,,R,R,R,
90370_3284,,,,,S,,,,,,,
192955_374,S,,,S,R,R,S,,R,S,R,
85569_306,R,,,,S,R,,S,R,R,R,
90370_3485,,,,,R,R,,,R,R,,
54388_200,,,,,R,S,,,S,S,,
590_12323,S,R,,R,S,S,,,R,R,S,
590_14524,S,S,,S,S,S,,,S,S,R,
590_12251,S,S,,S,S,S,,,S,S,R,
90371_899,S,,,,S,S,,,S,S,,
85569_78,R,,,,S,R,,S,R,R,R,
90371_5450,S,,S,S,R,R,,,R,R,S,
90370_284,S,,,,S,S,,,S,S,S,
85569_308,R,,,,S,R,,S,R,R,R,
590_14030,S,S,,S,S,S,,,S,S,R,
54388_277,S,,,,S,S,S,,S,S,S,
90370_4102,S,,S,,S,S,S,,S,S,S,
90371_2936,S,S,,S,S,S,S,,S,S,S,
590_13764,S,S,,S,S,S,,,S,S,R,
399587_101,S,S,S,S,S,R,R,,R,R,R,
590_16804,R,R,,R,S,S,,,R,R,R,
59201_4119,,,S,S,S,S,S,,S,S,S,
90370_4778,,,,,R,S,,,S,S,,
90370_2890,,,,S,R,R,,,S,R,,
90370_2971,,,,S,R,S,,,R,S,,
90370_4943,,,,,R,S,,,S,S,,
590_17011,S,S,,S,S,S,,,S,S,R,
90371_5367,S,S,,S,R,R,,,R,R,,
590_13988,S,S,,S,S,S,,,S,S,R,
58712_63,S,S,,S,S,S,S,,S,S,S,
590_16851,S,S,,S,R,S,,,R,R,R,
90370_4869,,,,,R,S,,,S,S,,
590_12343,S,S,,S,S,S,,,S,S,R,
590_12606,S,S,,S,S,S,,,S,S,R,
590_12435,S,S,,S,S,S,,,S,S,R,
85569_207,R,,,,S,R,,S,R,R,R,
85569_373,R,,,,S,R,,S,R,R,R,
90370_871,S,,,,S,S,,,S,S,S,
90370_3448,,,,,R,S,,,S,S,,
28901_10073,S,S,,S,,S,,,S,S,S,
28901_845,S,S,,S,R,R,S,,S,S,R,
590_15833,S,S,,S,S,S,,,S,S,R,
90371_5326,S,S,,S,S,R,,,S,S,,
46626_38,S,S,,S,S,S,S,,S,S,S,
28901_21405,S,S,S,S,S,S,S,,S,S,S,
590_14219,S,S,,S,S,S,,,S,S,R,
590_16710,S,S,,S,S,R,,,S,S,R,
28147_39,S,S,,S,S,S,S,,S,S,S,
85569_91,R,,,,R,R,,R,R,R,R,
85569_253,R,,,,S,R,,S,R,R,R,
108619_167,S,S,,S,S,S,S,,S,S,S,
54388_300,S,,,,S,S,S,,S,S,S,
90370_4787,,,,,R,S,,,S,S,,
590_14576,S,S,,S,S,S,,,S,S,R,
90370_2998,,,,S,R,S,,,R,S,,
90370_2527,,,,S,R,S,,,S,S,,
85569_278,R,,,,S,R,,S,R,R,R,
85569_291,R,,,,S,R,,S,R,R,R,
590_15795,S,S,,S,S,S,,,S,S,R,
85569_39,S,,,,S,S,,,S,S,S,
90371_5288,R,S,,S,R,R,,,R,R,,
90371_5261,R,R,,S,R,R,,,R,R,,
54388_235,,,,,R,S,,,S,S,,
590_12214,S,S,,S,S,S,,,S,S,S,
590_12248,S,S,,S,S,S,,,S,S,S,
590_12072,S,S,,S,S,S,,,S,S,R,
90370_4852,,,,,R,S,,,S,S,,
28901_773,S,S,,S,S,S,S,,R,S,S,
90371_5465,S,,S,R,S,R,,,R,R,R,
28901_764,S,S,,S,S,R,S,,S,S,S,
90370_4106,S,,S,S,R,R,S,,R,R,S,
90370_4889,,,,,R,S,,,S,S,,
90370_3277,,,,,R,,,,,,,
90370_4863,,,,,R,S,,,S,S,,
90370_2946,,,,S,R,S,,,S,S,,
90370_4953,,,,,R,S,,,S,S,,
28901_762,R,S,,S,S,R,S,,R,R,R,
54388_213,,,,,R,S,,,S,S,,
28901_837,R,S,,S,S,R,S,,R,S,S,
59201_4104,,,S,S,R,S,,,S,S,,
85569_336,R,,,,S,R,,S,R,R,R,
590_12629,S,S,,S,S,S,,,S,S,S,
399587_69,S,R,S,S,S,R,R,,R,S,R,
90370_3190,,,,S,S,S,,,S,S,,
85569_187,S,,,,S,R,,S,S,S,R,
192955_406,R,,,S,R,R,S,,R,S,R,
590_16819,R,R,,R,S,R,,,R,R,R,
54388_316,S,,,,S,S,S,,S,S,S,
590_16818,S,R,,S,S,S,,,R,R,R,
590_12409,S,S,,S,S,S,,,S,S,R,
90370_5527,S,,S,S,R,R,S,,R,R,R,
90371_5353,S,S,,S,S,S,,,S,S,,
85569_40,R,,,,S,R,,,S,S,S,
590_14044,S,S,,S,S,S,,,S,S,R,
590_12260,S,S,,S,S,S,,,S,S,S,
595_147,S,S,,S,S,S,S,,S,S,S,
192955_351,S,,,S,S,S,S,,S,S,S,
399587_55,S,S,S,S,S,R,R,,S,S,R,
90370_4913,,,,,R,S,,,S,S,,
590_16889,S,R,,S,S,S,,,R,R,R,
90370_4087,S,,S,S,R,R,S,,R,R,S,
85569_106,R,,,,S,R,,S,R,R,R,
90370_91,S,,,S,S,S,,,S,S,S,
90370_2715,,,,S,R,R,,,R,R,,
59201_4216,,,S,S,S,S,S,,S,S,S,
85569_229,R,,,,S,R,,S,R,R,R,
85569_204,R,,,,S,R,,S,R,R,R,
28901_827,R,R,,R,S,R,S,,R,R,R,
90370_4115,S,,S,,S,S,S,,S,S,S,
590_12235,S,S,,S,S,S,,,S,S,R,
90370_2723,,,,S,R,R,,,R,R,,
108619_165,S,S,,S,S,S,S,,S,S,S,
90370_4837,,,,,R,S,,,S,S,,
590_16572,S,R,,R,S,S,,,R,S,R,
58712_83,S,S,,S,S,S,S,,S,S,S,
58712_88,S,S,,S,S,S,S,,S,S,S,
28901_853,R,S,,S,S,R,S,,S,S,R,
590_16795,S,S,,S,R,S,,,S,S,R,
54388_331,S,,,,R,S,S,,S,S,S,
399587_100,S,S,S,S,S,R,R,,R,R,R,
399587_91,S,S,S,S,S,R,R,,R,R,R,
590_12589,S,R,,R,S,S,,,R,R,R,
28901_819,R,R,,S,R,R,S,,R,S,R,
590_12058,S,S,,S,S,S,,,S,S,R,
192955_394,R,,,S,R,R,S,,R,S,R,
90371_5417,S,S,,S,S,R,,,R,S,,
590_12540,S,S,,S,S,S,,,S,S,S,
85569_275,R,,,,S,R,,S,R,R,R,
90371_2472,R,R,,R,S,R,,,R,R,R,
590_15146,S,S,,S,S,S,,,S,S,S,
595_122,S,S,,S,R,R,,,S,S,R,
90370_3400,,,,,R,S,,,S,S,,
192955_388,R,,,S,R,R,S,,R,S,R,
363569_38,S,S,,S,S,S,S,,S,S,S,
149391_31,S,S,,S,S,S,S,,S,S,S,
590_12361,S,R,,R,S,S,,,R,S,S,
192955_358,S,,,S,R,S,S,,R,S,R,
90371_5478,S,,S,R,S,R,,,R,R,R,
192955_357,S,,,S,R,S,S,,R,S,S,
54388_50,S,,,,S,S,S,,S,S,S,
590_12303,S,S,,S,S,R,,,S,S,S,
590_12051,S,S,,S,S,S,,,S,S,R,
90370_4109,S,,S,S,R,R,S,,R,R,S,
590_12574,S,R,,S,S,S,,,R,S,S,
90370_2826,,,,S,R,R,,,R,R,,
90370_5485,S,,S,S,R,R,S,,R,R,R,
108619_161,S,S,,S,S,S,S,,S,S,S,
590_14290,S,S,,S,S,S,,,S,S,R,
85569_221,R,,,,S,R,,S,R,R,R,
399587_51,S,R,S,S,R,S,S,,R,R,R,
90370_3090,,,,S,R,S,,,S,S,,
590_15569,S,S,,S,S,S,,,S,S,R,
28901_21406,S,,S,S,S,S,S,,S,S,S,
28901_768,S,S,,S,S,S,S,,S,S,S,
590_12601,R,S,,R,R,R,,,R,R,R,
90371_5280,S,S,,S,S,S,,,R,S,,
90371_5322,S,S,,S,S,S,,,S,S,,
90370_3409,,,,,R,S,,,S,S,,
54388_192,,,,,R,S,,,S,S,,
90371_895,S,,,,R,R,,,R,R,,
59201_4138,,,S,S,S,S,S,,S,S,R,
590_14674,S,S,,S,S,S,,,S,S,S,
108619_48,R,R,,R,S,R,,,R,R,R,
90370_2515,,,,S,S,S,,,S,S,,
590_14230,S,S,,S,S,S,,,S,S,R,
59201_4093,,,S,S,R,S,,,S,S,,
59201_4113,,,S,R,S,R,S,,R,R,S,
590_13913,S,S,,S,S,S,,,S,S,R,
590_15639,S,S,,S,S,S,,,S,S,R,
59201_4108,,,S,S,R,S,,,S,S,,
59201_4115,,,S,R,S,R,S,,R,R,S,
90371_5279,R,R,,S,R,R,,,R,R,,
192955_371,S,,,S,R,S,S,,R,S,S,
108619_166,S,S,,S,S,S,S,,S,S,S,
340188_40,S,S,,S,S,S,S,,S,S,S,
590_15979,S,S,,S,S,S,,,S,S,R,
28901_838,R,S,,S,R,R,S,,R,R,R,
90371_5336,S,S,,S,S,S,,,S,S,,
85569_48,R,,,,S,R,,S,R,R,R,
590_14373,S,S,,S,S,S,,,S,S,R,
90370_4119,S,,S,S,S,S,S,,S,,S,
59201_4147,,,S,R,R,R,R,,R,R,S,
28901_10086,S,S,,S,,R,,,S,S,R,
90370_3069,,,,S,R,S,,,S,S,,
90370_3512,,,,,R,S,,,S,S,,
149391_42,S,S,,R,S,S,S,,R,S,S,
90370_3446,,,,,R,S,,,S,S,,
590_12379,S,S,,S,S,S,,,S,S,R,
590_12237,S,S,,S,S,S,,,S,S,R,
90371_5298,S,S,,S,S,S,,,S,S,,
28901_784,S,R,,R,S,R,S,,R,S,R,
54388_195,,,,,R,S,,,S,S,,
590_12610,S,S,,S,S,S,,,S,S,R,
590_16547,R,S,,S,S,S,,,R,S,S,
590_12586,S,S,,S,S,S,,,S,S,S,
192955_412,R,,,S,R,R,R,,R,R,R,
90370_3064,,,,S,R,S,,,S,S,,
590_12272,S,S,,S,S,S,,,S,S,R,
399587_43,S,S,S,S,S,R,R,,S,S,S,
90370_3619,R,R,S,R,R,R,S,,R,R,S,
90371_5407,S,S,,S,S,R,,,R,S,,
85569_151,R,,,,S,R,,S,R,R,R,
90371_5334,S,S,,S,S,S,,,S,S,,
85569_330,R,,,,S,R,,S,R,R,S,
54388_208,,,,,R,S,,,S,S,,
590_12537,S,S,,S,S,S,,,S,S,R,
590_12193,S,S,,S,S,S,,,S,S,S,
363569_45,S,S,,S,S,S,S,,S,S,S,
90371_5315,R,R,,S,R,R,,,R,R,,
90370_2921,,,,S,R,S,,,R,S,,
28901_834,S,S,,S,S,S,S,,S,S,S,
90371_5443,S,,S,R,S,R,,,R,R,R,
590_14926,S,R,,R,S,S,,,R,R,R,
54388_11,S,,,,S,S,S,,S,S,S,
590_12527,S,S,,S,S,S,,,S,S,R,
28901_21123,R,S,S,R,R,S,,,R,R,R,
90370_2851,,,,S,R,R,,,R,R,,
399587_66,S,R,S,S,S,R,R,,R,S,R,
54388_347,S,,,,R,S,S,,S,S,S,
90371_5444,S,,S,R,S,R,,,R,R,R,
85569_280,R,,,,S,R,,S,R,R,R,
90370_2761,,,,S,R,R,,,R,R,,
590_13793,R,S,,S,S,S,,,S,S,S,
192955_418,R,,,S,R,R,S,,R,S,R,
590_14037,S,S,,S,S,S,,,S,S,R,
85569_76,R,,,,S,R,,S,R,R,R,
399587_89,S,S,S,S,S,R,S,,R,R,R,
90370_4124,S,,S,S,S,S,S,,S,S,S,
590_16603,S,S,,S,S,S,,,R,S,R,
28901_1907,R,S,,S,,R,,,S,S,R,
90370_2539,,,,S,S,S,,,S,S,,
85569_378,R,,,,S,R,,S,R,R,R,
590_15698,S,R,,R,S,R,,,R,R,R,
85569_122,R,,,,S,R,,S,R,R,R,
28901_797,R,S,,S,R,R,S,,R,S,R,
85569_22,S,,,,S,S,,,S,S,R,
90370_4091,,,S,S,R,R,S,,R,R,S,
590_12356,S,S,,S,S,S,,,S,S,R,
590_12278,R,S,,R,R,R,,,R,R,R,
590_12451,S,S,,S,S,S,,,S,S,S,
90371_5331,S,S,,S,S,S,,,S,S,,
90370_5516,S,,S,S,R,S,S,,S,S,S,
590_16636,S,S,,S,S,S,,,S,S,S,
590_12057,S,S,,S,S,S,,,S,S,R,
54388_406,S,,S,S,R,S,S,,S,S,S,
363569_39,S,S,,S,S,S,S,,S,S,S,
590_16373,S,S,,S,S,S,,,S,S,R,
85569_274,R,,,,S,R,,S,R,S,S,
590_17022,S,S,,S,S,S,,,S,S,R,
90370_2533,,,,S,R,S,,,S,S,,
590_12422,S,S,,S,S,S,,,S,S,S,
90370_3127,,,,S,R,S,,,S,S,,
590_12378,S,S,,S,S,S,,,S,S,S,
90371_5256,S,S,,S,S,S,,,S,S,,
108619_164,S,S,,S,S,S,S,,S,S,S,
90370_2906,,,,S,R,,,,R,R,,
590_12291,S,S,,S,S,S,,,S,S,R,
54388_207,,,,,R,S,,,S,S,,
90371_5400,S,S,,S,S,S,,,S,S,,
90370_3470,,,,,R,S,,,S,S,,
85569_188,S,,,,S,R,,S,S,S,S,
58712_81,S,S,,S,S,S,S,,S,S,S,
28901_831,S,S,,S,S,S,S,,S,S,S,
595_137,S,S,,S,S,S,S,,S,S,S,
192955_444,R,,,S,R,R,S,,R,S,R,
85569_190,R,,,,S,R,,S,R,R,R,
54388_228,,,,,R,S,,,S,S,,
192955_408,S,,,S,R,S,S,,R,S,S,
58712_85,S,S,,S,S,S,S,,S,S,S,
90370_2931,,,,S,R,S,,,S,S,,
90370_3366,,,,,S,,,,,,,
90370_3342,,,,,R,,,,,,,
59201_4211,,,S,S,S,S,S,,S,S,S,
85569_345,S,,,,S,R,,S,R,S,S,
590_12414,S,S,,S,S,S,,,S,S,R,
595_153,S,S,,S,S,S,S,,S,S,S,
90370_2824,,,,S,R,R,,,R,R,,
192955_426,R,,,S,R,R,S,,R,S,R,
590_12600,S,R,,R,S,S,,,R,R,R,
85569_359,S,,,,S,S,,,S,S,S,
192955_422,S,,,S,R,S,S,,R,S,R,
90371_5404,S,S,,S,S,S,,,S,S,,
90370_4128,S,,S,S,S,S,S,,S,S,S,
590_12271,S,S,,S,S,S,,,S,S,R,
59201_4107,,,S,S,R,S,,,S,S,,
85569_108,R,,,,S,R,,S,R,R,R,
90370_3054,,,,S,R,S,,,S,S,,
90370_2997,,,,S,R,S,,,R,S,,
90370_3095,,,,S,R,S,,,S,S,,
90371_2478,R,S,,R,R,R,,,R,R,R,
90370_4105,S,,S,S,S,R,S,,S,S,S,
90371_5369,R,S,,S,R,R,,,R,R,,
590_14159,S,S,,S,S,S,,,S,S,R,
90370_3123,,,,S,R,S,,,S,S,,
85569_121,R,,,,S,R,,S,R,R,R,
590_12329,S,S,,S,S,S,,,S,S,S,
595_154,S,S,,S,S,S,S,,S,S,S,
85569_9,R,,,,S,R,,,R,S,R,
399587_82,S,S,S,S,S,R,S,,S,R,R,
85569_181,S,,,,S,R,,S,S,S,R,
90370_4133,S,,S,S,S,S,S,,S,S,S,
90370_4086,S,,S,S,R,R,S,,R,R,S,
590_16091,S,S,,S,S,R,,,R,R,R,
85569_84,R,,,,S,R,,S,R,S,R,
90370_2805,,,,S,R,R,,,R,R,,
85569_49,R,,,,S,R,,S,R,R,R,
600_45,S,S,,S,S,S,S,,S,S,S,
90370_4964,,,,,R,R,,,R,R,,
90370_759,S,,,,S,S,,,S,S,S,
85569_216,R,,,,S,R,,S,R,R,R,
90371_2127,R,R,,S,S,R,,,R,R,R,
54388_204,,,,,R,S,,,S,S,,
590_12325,S,S,,S,S,S,,,S,S,R,
85569_321,R,,,,S,R,,S,R,R,R,
54388_283,S,,,,S,S,S,,S,S,S,
58712_70,S,S,,S,S,S,S,,S,S,S,
90370_1409,S,,,S,S,S,,,S,S,S,
85569_287,R,,,,S,R,,S,R,R,R,
28901_852,S,S,,S,S,R,S,,S,S,R,
90371_2938,S,S,,S,S,S,S,,S,S,S,
590_14149,S,S,,S,S,S,,,S,R,R,
399587_77,S,R,S,S,S,R,R,,R,R,R,
54388_292,S,,,,S,S,S,,S,S,S,
28901_851,R,R,,S,S,S,S,,R,S,R,
192955_433,R,,,S,S,R,S,,S,S,R,
192955_377,S,,,S,R,S,S,,R,S,S,
28901_10077,S,S,,S,,S,,,S,S,R,
90371_2133,S,R,,R,S,S,,,R,S,S,
90370_2918,,,,S,R,S,,,S,R,,
90370_2848,,,,S,R,R,,,R,R,,
98360_71,R,R,,R,S,R,,,R,R,R,
90370_3092,,,,S,R,S,,,S,S,,
85569_235,R,,,,S,R,,S,R,R,R,
108619_159,S,S,,S,S,S,S,,S,S,S,
54388_237,,,,,R,S,,,S,S,,
590_16123,R,S,,S,S,S,,,S,S,S,
90370_5508,S,,S,S,R,S,S,,S,S,S,
98360_91,R,R,,R,S,R,,,R,R,R,
590_12534,S,S,,S,S,S,,,S,S,S,
590_12447,S,S,,S,S,S,,,S,S,R,
28901_802,R,S,,S,R,R,S,,R,S,S,
590_12380,S,S,,S,S,S,,,S,S,S,
90370_3088,,,,S,R,S,,,S,S,,
90371_5349,S,S,,S,S,S,,,S,S,,
590_12596,S,S,,S,S,S,,,S,S,S,
54388_395,S,,S,S,R,S,S,,S,S,S,
399587_45,S,S,S,S,S,S,S,,S,S,S,
90370_4860,,,,,R,S,,,S,S,,
590_12593,S,S,,S,S,S,,,S,S,S,
90370_4900,,,,,R,S,,,S,S,,
90370_3503,,,,,R,S,,,S,S,,
90370_3581,,,,,R,S,,,S,S,,
590_14177,S,S,,S,S,S,,,S,S,R,
90370_3335,,,,,R,,,,,,,
590_13680,S,S,,S,S,S,,,S,S,R,
90371_5340,S,S,,S,S,R,,,S,S,,
28901_16258,S,,,S,,S,,,R,,,
85569_26,R,,,,S,R,,,R,R,R,
590_15010,S,S,,S,S,S,,,S,S,R,
590_16938,S,S,,S,S,S,,,S,S,R,
90370_5505,S,,S,S,S,S,S,,S,S,S,
590_12212,S,S,,S,S,S,,,S,S,R,
590_16874,S,S,,S,S,S,,,S,S,R,
90370_2755,,,,S,R,R,,,R,R,,
90371_5467,S,,S,R,S,R,,,R,R,R,
590_12321,S,S,,S,S,S,,,S,S,R,
90370_3181,,,,S,S,S,,,S,S,,
85569_182,R,,,,S,R,,S,R,R,R,
590_16691,S,S,,S,S,S,,,S,R,R,
90370_3191,,,,S,S,S,,,S,S,,
57045_19,S,S,,S,S,S,S,,S,S,S,
90371_5300,S,S,,S,S,S,,,R,S,,
59201_4213,,,S,S,S,S,S,,S,S,S,
590_14590,S,R,,R,S,S,,,R,S,S,
90370_2773,,,,S,R,R,,,R,R,,
590_15331,S,S,,S,S,S,,,S,R,R,
192955_378,S,,,S,R,S,S,,R,S,S,
90370_2841,,,,S,R,R,,,R,R,,
90370_4897,,,,,R,S,,,S,S,,
90371_5418,S,S,,S,S,S,,,S,S,,
98360_76,R,R,,R,S,R,,,R,R,R,
590_16429,S,S,,S,S,S,,,S,S,R,
85569_147,R,,,,S,R,,S,R,S,R,
90370_4825,,,,,R,S,,,S,S,,
590_12255,S,S,,S,S,S,,,S,S,S,
90371_5498,S,,S,R,S,R,,,R,R,R,
149391_37,S,S,,S,S,S,S,,S,S,S,
28901_848,R,R,,R,R,R,S,,R,R,R,
590_12598,S,S,,S,S,S,,,S,S,S,
590_17807,S,S,,S,S,S,,,S,S,R,
28901_21076,,,S,R,S,R,,,R,,,
90370_2542,,,,S,S,S,,,S,S,,
590_12080,S,R,,R,S,S,,,R,S,S,
90370_5497,S,,S,S,R,R,S,,R,R,R,
108619_46,R,R,,R,S,R,,,R,R,R,
590_12525,S,S,,S,S,S,,,S,S,S,
590_16301,S,S,,S,S,S,,,S,S,R,
399587_63,S,S,S,S,S,S,S,,S,S,R,
90371_5246,S,S,,S,S,R,,,R,R,,
90370_5468,S,,S,S,R,R,S,,R,R,R,
85569_107,R,,,,S,R,,S,R,R,R,
590_12510,S,R,,R,S,S,,,R,S,R,
54388_188,,,,,R,S,,,S,S,,
90370_583,S,,,,S,S,,,S,S,S,
85569_110,R,,,,S,S,,S,S,S,S,
90370_4126,S,,S,S,S,S,S,,S,S,S,
149391_23,S,S,,S,S,S,S,,S,S,S,
90370_4097,S,,S,S,R,R,S,,R,R,S,
54388_398,S,,S,S,R,S,S,,S,S,,
59201_4141,,,S,R,S,R,S,,R,R,S,
28901_16285,R,,,S,,R,,,R,,,
90371_5325,S,S,,S,S,R,,,S,S,,
28147_38,S,S,,S,S,S,S,,S,S,S,
108619_175,S,S,,S,S,S,S,,S,S,S,
590_14903,S,R,,R,S,S,,,R,S,R,
590_12219,S,S,,S,S,S,,,R,S,R,
590_12310,S,S,,S,S,S,,,S,S,R,
90371_5333,S,S,,S,S,S,,,S,S,,
90370_534,S,,,,S,S,,,S,S,S,
54388_403,S,,S,S,R,S,S,,S,S,S,
90371_5457,S,,S,S,S,R,,,R,R,S,
590_17793,S,S,,S,S,S,,,S,S,R,
590_16535,S,S,,S,S,S,,,S,S,R,
90370_4110,S,,,S,R,R,S,,R,R,S,
90370_4909,,,,,R,S,,,S,S,,
90371_5452,S,,S,S,S,R,,,R,R,S,
90370_2934,,,,S,R,S,,,S,S,,
590_12215,S,S,,S,S,S,,,S,S,S,
90371_5264,S,S,,S,S,S,,,S,S,,
28901_829,S,S,,S,S,S,S,,S,S,S,
85569_264,R,,,,S,R,,R,R,R,R,
90370_4999,,,,,R,,,,,,,
90370_588,S,,,S,S,S,,,S,S,S,
28901_822,R,R,,R,S,R,S,,R,R,R,
90370_3479,,,,,R,S,,,S,S,,
85569_24,S,,,,S,S,,,S,S,S,
85569_86,R,,,,S,R,,S,R,S,R,
90370_1388,S,,,,S,S,,,S,S,S,
90370_2807,,,,S,R,R,,,R,R,,
54388_344,S,,,,R,S,S,,S,S,S,
85569_195,R,,,,S,R,,S,R,R,R,
59201_4118,,,S,R,S,R,R,,R,R,S,
90370_4823,,,,,R,S,,,S,S,,
28901_21053,,,S,R,S,R,,,R,,,
28901_10089,S,S,,S,,S,,,S,S,S,
90371_5440,S,,S,S,S,R,,,R,S,S,
192955_421,R,,,S,R,R,S,,R,S,R,
90370_3004,,,,S,R,S,,,R,S,,
28901_800,R,S,,S,S,S,S,,S,S,R,
90370_1402,S,,,S,S,S,,,S,S,S,
90370_2845,,,,S,R,R,,,R,R,,
54388_307,S,,,,S,S,S,,S,S,S,
90370_3179,,,,S,S,S,,,S,S,,
90371_6244,R,,,,S,S,,,,S,,
399587_65,S,S,S,S,S,S,S,,S,S,R,
90370_3559,,,,,R,S,,,S,S,,
54388_377,S,,S,S,R,S,S,,S,S,S,
90370_2520,,,,S,R,R,,,R,R,,
28901_16303,R,,,S,S,R,,,R,S,R,
28901_858,R,S,,S,S,R,S,,S,S,S,
108619_153,S,S,,S,S,S,S,,S,S,S,
90370_5560,,,,,S,,,,,,,
590_12302,S,R,,S,S,S,,,R,R,R,
59201_4131,,,S,R,S,R,S,,R,R,S,
90371_5327,S,S,,S,S,S,,,S,S,,
28901_840,R,R,,S,R,R,S,,R,S,R,
90370_3425,,,,,R,S,,,S,S,,
590_12364,S,S,,S,S,S,,,S,S,R,
54388_390,S,,S,S,R,S,S,,S,S,S,
90370_2908,,,,S,R,S,,,R,R,,
90370_2543,,,,S,R,R,,,R,R,,
90371_2935,S,S,,S,S,S,S,,S,S,S,
59201_4098,,,S,S,R,S,,,S,S,,
399587_75,S,R,S,S,S,S,S,,R,R,S,
590_12411,S,S,,S,S,S,,,S,S,R,
590_15182,S,S,,S,S,S,,,S,S,R,
90371_2483,R,R,,S,S,R,,,R,R,R,
28901_826,S,S,,S,S,S,S,,S,S,S,
590_17058,S,S,,S,R,S,,,S,S,R,
590_12349,S,S,,S,S,S,,,S,S,R,
28901_16265,S,,,S,,S,,,R,,,
90371_5249,S,R,,R,S,S,,,R,S,,
590_12612,R,S,,S,S,S,,,R,S,R,
54388_234,,,,,R,S,,,S,S,,
90370_4113,S,,S,S,S,S,S,,S,S,S,
2172527_3,S,S,,S,S,S,S,,S,S,S,
90371_3118,,,,R,S,S,,,R,,,
90370_3340,,,,,R,,,,,,,
90370_3526,,,,,R,S,,,S,S,,
590_12465,S,S,,S,S,S,,,S,S,S,
590_12617,S,S,,S,S,S,,,S,S,R,
90370_2859,,,,S,R,R,,,R,R,,
90371_5506,S,,S,S,S,R,,,R,R,S,
590_12535,S,S,,S,S,S,,,S,S,R,
90371_897,S,,,,S,S,,,S,S,,
399587_59,S,S,S,S,S,R,S,,S,R,R,
90370_2837,,,,S,R,R,,,R,R,,
590_11959,S,S,,S,S,S,,,S,S,R,
590_12385,S,S,,S,S,S,,,S,S,S,
85569_77,R,,,,S,R,,S,R,R,R,
54388_210,,,,,R,S,,,S,S,,
90371_5243,S,R,,R,R,R,,,R,R,,
590_12290,R,S,,S,S,S,,,S,S,R,
90370_527,S,,,,S,S,,,S,S,S,
590_12362,S,S,,S,S,S,,,S,S,S,
590_12065,S,S,,S,S,S,,,S,S,R,
590_12217,S,S,,S,S,S,,,S,S,S,
54388_243,,,,,R,S,,,S,S,,
54388_190,,,,,R,S,,,S,S,,
58712_89,S,S,,S,S,S,S,,S,S,S,
54388_299,S,,,,S,S,S,,S,S,S,
54388_225,,,,,R,S,,,S,S,,
90370_4122,S,,S,S,S,R,S,,R,S,R,
90370_2913,,,,S,R,R,,,S,R,,
590_12206,S,S,,S,S,S,,,S,S,R,
90370_3057,,,,S,R,S,,,S,S,,
90370_2833,,,,S,R,R,,,R,R,,
590_12509,S,S,,S,S,S,,,S,S,S,
590_12242,S,S,,S,S,S,,,S,S,S,
590_15397,S,S,,S,S,S,,,S,S,R,
90370_3621,R,S,S,R,R,R,S,,R,R,S,
58712_67,S,S,,S,S,S,S,,S,S,S,
90371_5253,R,R,,S,R,S,,,R,R,,
85569_45,R,,,,S,R,,S,R,R,R,
108619_51,R,R,,R,S,R,,,R,R,R,
90370_3363,,,,,S,,,,,,,
28901_823,S,R,,R,S,R,S,,R,S,S,
108619_181,R,S,,S,S,R,S,,S,S,S,
90370_3451,,,,,R,S,,,S,S,,
54388_223,,,,,R,S,,,S,S,,
108619_149,S,S,,S,S,S,S,,S,S,S,
595_151,S,S,,S,S,S,S,,S,S,S,
28901_21058,,,S,R,S,R,,,R,,,
590_16959,S,S,,S,S,S,,,S,S,R,
59201_4217,,,S,S,S,S,S,,S,S,S,
