sseqid,IS1016@IS1595@IS1016,IS1301@IS5@IS427,IS1655@IS30@nan,ISNg1@IS3@IS150,ISNgo2@IS110@nan,ISNgo3@IS110@nan
485_13063,1,0,0,1,0,0
485_13064,1,0,0,0,0,1
485_13065,1,0,0,1,0,1
485_13066,1,0,0,0,0,1
485_13067,1,0,0,0,0,1
485_13068,1,0,0,0,0,1
485_13069,1,0,0,0,0,1
485_13070,1,0,0,1,0,1
485_13071,1,0,0,1,0,0
485_13072,1,0,0,1,0,0
485_13073,1,0,0,1,0,1
485_13074,1,0,1,1,0,1
485_13075,0,0,0,0,0,1
485_13076,1,0,0,0,0,1
485_13077,1,0,0,1,0,1
485_13078,1,0,0,0,0,1
485_13079,1,0,0,0,0,1
485_13080,1,0,0,1,0,1
485_13081,0,0,0,0,0,1
485_13082,1,0,0,1,1,0
485_13083,1,0,0,0,0,1
485_13084,0,0,0,0,0,1
485_13085,1,0,0,0,0,1
485_13086,0,0,0,0,1,1
485_13087,1,0,0,0,0,1
485_13088,1,0,0,1,1,1
485_13089,1,0,0,0,0,1
485_13090,1,0,0,1,0,1
485_13091,1,0,0,1,0,1
485_13092,1,0,0,1,0,1
485_13093,1,0,0,0,0,1
485_13094,0,0,0,1,0,1
485_13095,1,0,0,1,0,1
485_13096,1,0,0,1,0,1
485_13097,0,0,0,1,0,1
485_13099,0,0,0,0,0,1
485_131,1,0,0,1,0,1
485_13100,1,0,0,1,0,1
485_13103,1,0,0,0,0,1
485_13104,1,0,0,1,0,1
485_13105,1,0,0,1,0,0
485_13107,1,0,0,1,0,1
485_13108,1,0,0,0,0,1
485_13111,1,0,0,0,0,0
485_13112,1,0,0,1,0,1
485_13113,1,0,0,1,0,0
485_13118,1,0,0,1,0,1
485_13119,1,0,0,0,0,1
485_13121,1,0,0,0,0,0
485_13122,1,0,0,1,0,1
485_13123,1,0,0,1,0,1
485_13124,0,0,0,1,0,1
485_13125,1,0,0,0,0,1
485_13126,1,0,0,1,1,1
485_13127,1,0,0,0,0,1
485_13128,1,0,0,1,0,1
485_13129,1,0,0,0,0,1
485_13130,1,0,0,1,0,0
485_13131,1,0,0,0,0,1
485_13132,1,0,0,0,0,1
485_13133,1,0,0,0,0,0
485_13134,1,0,0,0,0,1
485_13135,1,0,0,0,1,1
485_13136,1,0,0,0,0,0
485_13137,1,0,0,1,0,1
485_13138,1,0,0,1,0,1
485_13139,1,0,0,1,0,0
485_13140,1,0,0,0,0,1
485_13141,1,0,0,1,0,1
485_13142,1,0,0,1,0,0
485_13143,1,0,0,1,0,1
485_13144,1,0,0,1,0,1
485_13145,1,0,0,0,0,1
485_13146,0,0,0,1,0,1
485_13147,1,0,0,1,0,1
485_13148,1,0,1,1,0,1
485_13151,1,0,0,0,0,1
485_13152,1,0,0,1,0,1
485_13153,1,0,0,0,0,0
485_13157,1,0,0,0,0,1
485_13159,1,0,0,0,0,1
485_13160,1,0,0,1,0,1
485_13161,1,0,0,1,0,1
485_13163,1,0,0,1,0,1
485_13164,0,0,0,1,0,1
485_13165,1,0,0,1,0,1
485_13166,1,0,0,1,0,1
485_13167,0,0,0,0,0,1
485_13168,1,0,0,1,0,0
485_13169,1,0,0,1,1,0
485_13170,1,0,0,1,0,1
485_13171,1,0,0,0,0,1
485_13172,1,0,1,1,0,1
485_13173,1,0,0,1,0,1
485_13174,1,0,1,1,0,1
485_13175,0,0,0,1,1,1
485_13176,1,0,0,0,0,1
485_13177,1,0,0,1,0,1
485_13180,1,0,0,0,0,1
485_13183,0,0,0,0,0,1
485_13184,1,0,0,0,0,1
485_13186,1,0,0,0,0,0
485_13188,1,0,0,1,1,1
485_13189,1,0,0,1,0,1
485_13191,1,0,0,1,0,0
485_13192,1,0,0,0,0,1
485_13193,0,0,0,0,0,1
485_13194,1,0,0,0,0,1
485_13196,1,0,0,1,1,0
485_13197,1,0,0,0,0,0
485_13198,1,0,0,1,0,1
485_13199,1,0,0,0,0,1
485_132,0,0,0,1,1,1
485_13200,1,0,0,0,0,1
485_13201,1,0,0,0,0,0
485_13202,1,0,0,0,0,1
485_13203,1,0,0,1,0,1
485_13204,1,0,0,1,1,1
485_13205,1,0,1,1,0,0
485_13206,1,0,0,0,0,1
485_13207,0,0,0,0,0,1
485_13208,1,0,0,0,0,0
485_13209,1,0,0,1,0,1
485_13210,1,0,0,0,0,0
485_13211,1,0,0,0,0,1
485_13212,1,0,0,0,0,0
485_13213,1,0,0,1,1,1
485_13214,1,0,0,1,0,0
485_13215,1,0,0,1,1,1
485_13216,1,0,0,0,0,1
485_13217,1,0,0,0,0,1
485_13218,1,0,0,0,0,1
485_13219,1,0,0,1,0,1
485_13220,1,0,0,1,0,1
485_13221,1,0,0,0,0,1
485_13222,1,0,0,0,0,0
485_13223,1,0,0,0,0,1
485_13224,1,0,0,1,0,1
485_13225,1,0,0,1,0,1
485_13226,1,0,1,1,0,1
485_13227,1,0,0,0,0,1
485_13228,1,0,0,0,0,1
485_13229,1,0,1,1,0,1
485_13230,1,0,0,1,0,1
485_13231,1,0,0,1,0,1
485_13232,1,0,0,0,0,1
485_13233,1,0,0,0,0,1
485_13234,1,0,0,0,0,1
485_13235,1,0,0,1,0,1
485_13236,1,0,0,0,0,1
485_13237,1,0,0,0,0,1
485_13238,1,0,0,1,0,0
485_13241,1,0,0,1,0,1
485_13244,1,0,0,0,0,0
485_13246,1,0,0,1,0,1
485_13247,1,0,0,1,1,1
485_13249,1,0,0,0,0,0
485_13250,1,0,0,1,0,1
485_13251,1,0,0,0,0,1
485_13252,1,0,0,0,0,0
485_13253,1,0,0,1,0,1
485_13254,1,0,0,1,0,1
485_13255,1,0,0,0,0,1
485_13257,1,0,0,1,0,1
485_13258,1,0,0,0,0,1
485_13259,1,0,0,0,0,1
485_13260,1,0,0,1,0,1
485_13261,1,0,0,1,0,1
485_13262,1,0,0,1,0,1
485_13263,1,0,0,1,0,1
485_13264,1,0,0,1,0,1
485_13265,1,0,0,1,0,1
485_13266,1,0,0,0,0,0
485_13267,1,0,0,0,0,1
485_13268,1,0,0,0,0,1
485_13269,1,0,1,1,0,0
485_13270,1,0,0,0,0,1
485_13271,1,0,0,1,1,1
485_13272,1,0,0,1,0,0
485_13273,1,0,0,1,0,0
485_13274,1,0,0,1,0,1
485_13275,1,0,0,1,0,0
485_13276,0,0,0,0,0,1
485_13277,0,0,0,0,1,1
485_13278,1,0,0,0,0,0
485_13279,1,0,0,0,0,1
485_13280,1,0,0,1,0,0
485_13281,1,0,0,1,0,1
485_13282,1,0,0,1,0,0
485_13283,1,0,0,1,0,0
485_13284,1,0,0,0,0,1
485_13285,1,0,0,1,0,1
485_13286,1,0,0,1,0,0
485_13288,1,0,0,1,0,1
485_13289,1,0,0,0,0,1
485_13290,1,0,0,0,0,1
485_13291,1,0,0,0,0,1
485_13292,1,0,0,1,0,1
485_13293,1,0,0,1,1,1
485_13294,1,0,0,1,0,1
485_13295,1,0,0,1,0,1
485_13296,1,0,0,0,0,1
485_13297,1,0,0,1,0,1
485_13298,1,0,0,1,0,1
485_13299,1,0,0,1,0,1
485_133,0,0,0,1,0,1
485_13300,0,0,0,1,0,1
485_13301,1,0,0,1,0,1
485_13302,1,0,0,1,0,1
485_13303,1,0,0,1,0,0
485_13304,1,0,0,1,0,1
485_13305,1,0,0,1,0,0
485_13306,1,0,1,1,0,1
485_13307,1,0,0,1,0,0
485_13308,1,0,0,0,0,1
485_13309,1,0,1,1,0,0
485_13310,1,0,0,0,0,1
485_13311,1,0,0,1,0,1
485_13312,1,0,0,0,0,1
485_13313,1,0,0,0,0,0
485_13314,1,0,0,1,0,1
485_13315,1,0,0,0,0,1
485_13316,1,0,0,1,0,1
485_13317,1,0,0,0,0,0
485_13318,1,0,0,0,0,0
485_13319,1,0,0,0,0,1
485_13320,1,0,0,0,0,1
485_13321,1,0,0,1,0,1
485_13322,1,0,0,0,0,1
485_13323,1,0,0,0,0,1
485_13324,1,0,0,0,0,1
485_13325,1,0,0,1,0,1
485_13336,1,0,0,1,0,1
485_13337,1,0,0,1,0,1
485_13338,1,0,0,1,0,0
485_13339,1,0,0,1,0,1
485_13340,1,0,0,0,0,0
485_13341,1,0,0,1,0,1
485_13342,1,0,0,0,0,1
485_13343,1,0,0,0,0,1
485_13344,1,0,0,0,0,1
485_13345,1,0,0,0,0,1
485_13346,1,0,0,1,0,1
485_13347,0,0,0,1,0,1
485_13348,1,0,0,0,0,1
485_13349,1,0,0,1,0,0
485_13350,1,0,0,1,0,1
485_13351,1,0,0,1,0,1
485_13352,1,0,0,1,0,0
485_13353,1,0,1,0,0,1
485_13354,1,0,0,1,0,1
485_13355,1,0,0,0,0,1
485_13356,1,0,0,1,0,0
485_13357,1,0,0,1,0,0
485_13358,1,0,0,1,0,0
485_13359,0,0,0,1,0,1
485_13360,1,0,0,1,0,0
485_13361,1,0,0,0,0,0
485_13362,1,0,0,0,0,0
485_13363,1,0,0,1,0,0
485_13364,1,0,0,1,0,0
485_13365,1,0,0,1,0,1
485_13366,1,0,1,1,0,1
485_13367,1,0,0,1,0,1
485_13368,1,0,0,0,0,1
485_13369,1,0,0,0,0,1
485_13370,1,0,0,1,0,0
485_13371,1,0,0,1,1,1
485_13372,1,0,0,1,0,0
485_13373,1,0,0,1,0,0
485_13374,1,0,1,1,0,0
485_13375,1,0,0,0,0,0
485_13376,1,0,0,1,0,1
485_13377,1,0,0,0,0,0
485_13378,1,0,0,1,0,1
485_13379,1,0,0,0,0,1
485_13380,1,0,0,0,0,1
485_13381,1,0,0,0,0,1
485_13382,1,0,0,0,0,1
485_13383,1,0,1,0,0,0
485_13384,1,0,0,1,0,1
485_13385,1,0,0,1,0,1
485_13386,1,0,0,1,0,1
