,Macrolide,Penicilin,Tetracycline
1307_7759,S,S,R
1307_7733,R,S,R
1307_7933,R,S,R
1307_8012,R,S,R
1307_8170,S,S,R
1307_8042,R,S,R
1307_7891,S,S,R
1307_7811,R,S,R
1307_7697,S,S,S
1307_7690,R,S,R
1307_7666,S,S,R
1307_8163,,S,R
1307_7851,R,S,R
1307_7676,R,S,R
1307_7981,R,S,R
1307_7800,R,S,R
1307_8025,S,S,R
1307_7543,S,S,S
1307_8047,R,S,R
1307_7828,R,S,R
1307_8175,R,S,R
1307_7889,R,S,R
1307_7999,S,S,R
1307_7656,R,S,R
1307_7874,S,S,R
1307_8087,R,S,R
1307_7575,R,S,R
1307_7616,R,S,R
1307_8174,S,S,R
1307_7596,S,S,R
1307_7836,R,S,R
1307_8000,S,S,R
1307_7532,R,S,R
1307_7585,R,S,S
1307_7789,R,S,R
1307_8102,S,S,R
1307_8078,S,S,R
1307_7954,S,S,R
1307_7587,S,S,R
1307_7668,R,S,R
1307_7822,R,S,R
1307_7947,S,S,R
1307_7623,R,S,R
1307_7645,S,S,R
1307_8013,R,S,R
1307_8075,R,S,R
1307_7901,S,S,R
1307_7853,S,S,R
1307_7663,R,S,R
1307_8074,R,S,R
1307_8139,R,S,R
1307_7820,R,S,R
1307_7539,S,S,S
1307_7547,S,S,R
1307_7590,S,S,S
1307_7952,S,S,R
1307_7798,R,S,R
1307_7520,R,S,R
1307_7521,S,S,S
1307_8031,S,S,R
1307_8129,R,S,R
1307_7790,R,S,R
1307_7779,R,S,R
1307_7567,S,S,R
1307_7627,S,S,R
1307_7878,S,S,R
1307_7620,S,S,S
1307_8071,R,S,R
1307_7566,S,S,S
1307_7784,R,S,R
1307_8176,S,S,R
1307_7817,R,S,R
1307_7968,S,S,R
1307_7857,,S,R
1307_7591,S,S,R
1307_8121,S,S,S
1307_7924,S,S,R
1307_7572,S,S,R
1307_7875,R,S,R
1307_7728,R,S,R
1307_8028,R,S,R
1307_7667,R,S,R
1307_7990,S,S,S
1307_8167,R,S,R
1307_7894,R,S,R
1307_7887,S,S,S
1307_7776,R,S,R
1307_8161,R,S,R
1307_7903,S,S,R
1307_7936,S,S,R
1307_7735,R,S,R
1307_8007,R,S,R
1307_7864,S,S,R
1307_8177,R,S,R
1307_7877,S,S,R
1307_8096,S,S,R
1307_8050,S,S,S
1307_7553,S,S,R
1307_8084,S,S,R
1307_7653,R,S,R
1307_8091,S,S,R
1307_8178,S,S,R
1307_8122,R,S,R
1307_7967,R,S,R
1307_7614,S,S,R
1307_8158,S,S,S
1307_7953,S,S,R
1307_8051,S,S,R
1307_8053,S,S,R
1307_7613,S,S,R
1307_7698,R,S,R
1307_7892,S,S,R
1307_7519,R,S,R
1307_8103,R,S,R
1307_8136,R,S,R
1307_8108,R,S,R
1307_7969,R,S,R
1307_7895,S,S,S
1307_7681,S,S,R
1307_8017,R,S,R
1307_7619,R,S,R
1307_7989,R,S,R
1307_7537,S,S,S
1307_7788,S,S,R
1307_7761,R,S,R
1307_7660,,S,R
1307_7540,R,S,R
1307_7581,R,S,R
1307_7829,R,S,R
1307_8066,R,S,R
1307_7624,S,S,R
1307_7657,R,S,R
1307_7983,R,S,R
1307_8030,R,S,R
1307_7600,S,S,R
1307_8046,R,S,R
1307_8118,R,S,R
1307_7549,R,S,R
1307_7930,R,S,R
1307_7573,S,S,R
1307_7729,S,S,R
1307_8100,S,S,R
1307_7655,R,,R
1307_7760,S,S,R
1307_7993,R,,R
1307_7665,S,S,S
1307_7794,S,S,S
1307_7679,R,S,R
1307_7736,S,S,S
1307_7856,S,S,R
1307_7725,S,S,R
1307_8092,R,S,R
1307_8044,S,S,R
1307_8150,S,S,R
1307_7870,S,S,R
1307_7557,S,S,R
1307_7846,S,S,R
1307_8107,R,S,R
1307_8009,S,S,R
1307_8157,R,S,R
1307_8155,S,S,R
1307_8086,R,S,R
1307_8027,S,S,R
1307_7971,S,S,R
1307_7633,R,S,R
1307_7699,R,S,R
1307_7559,R,S,R
1307_8165,R,S,R
1307_7592,S,S,R
1307_7578,S,S,R
1307_8128,R,S,R
1307_8148,R,S,R
1307_7949,S,S,R
1307_7973,S,S,R
1307_7979,S,S,R
1307_7563,R,S,R
1307_7977,S,S,R
1307_7552,R,S,R
1307_8059,S,S,R
1307_7803,R,S,R
1307_7529,S,S,S
1307_7654,S,S,R
1307_7796,R,S,R
1307_7576,S,S,R
1307_7530,R,S,R
1307_8090,R,S,R
1307_7586,S,S,R
1307_8038,S,S,R
1307_7594,R,S,R
1307_7689,R,S,R
1307_7635,R,S,R
1307_7513,R,S,R
1307_7801,S,S,R
1307_7884,S,S,S
1307_7695,S,S,R
1307_8160,R,S,R
1307_8060,R,S,R
1307_7882,R,S,S
1307_7598,R,S,R
1307_8106,R,S,R
1307_7577,S,S,S
1307_8010,S,S,R
1307_7873,S,S,R
1307_7618,R,S,S
1307_8171,,S,R
1307_8070,R,S,R
1307_7525,S,S,R
1307_7554,S,S,R
1307_7920,S,S,R
1307_7804,R,S,R
1307_7787,R,S,R
1307_7984,S,S,R
1307_7583,S,S,R
1307_7606,S,S,R
1307_8065,R,S,R
1307_7608,S,S,S
1307_8052,R,S,R
1307_8061,S,S,S
1307_7716,R,S,R
1307_7701,R,S,R
1307_8138,S,S,R
1307_7688,S,S,R
1307_7650,R,S,R
1307_7564,R,S,R
1307_7880,R,S,R
1307_7531,S,S,S
1307_7558,S,S,R
1307_7795,R,S,R
1307_8048,S,S,R
1307_8033,S,S,R
1307_7854,R,S,R
1307_7584,S,S,R
1307_8037,S,S,S
1307_7746,R,S,R
1307_7636,R,S,R
1307_8077,S,S,S
1307_8080,R,S,R
1307_8015,S,S,S
1307_7738,S,S,R
1307_8156,S,S,S
1307_7518,R,S,R
1307_7664,R,S,R
1307_7582,S,S,R
1307_8169,R,S,R
1307_7923,S,S,S
1307_8124,R,S,R
1307_8056,S,S,R
1307_8022,R,S,R
1307_7599,S,S,R
1307_7741,R,S,R
1307_7715,R,,R
1307_7785,S,S,R
1307_7980,S,S,S
1307_7763,R,S,R
1307_7900,S,S,R
1307_7658,S,S,R
1307_7860,R,S,R
1307_7772,S,S,R
1307_8140,S,S,R
1307_7807,R,S,R
1307_7752,R,S,R
1307_7802,S,S,R
1307_7524,S,S,R
1307_7550,S,S,R
1307_7773,R,S,R
1307_8141,S,S,R
1307_7914,R,S,R
1307_7684,R,S,R
1307_7700,R,S,R
1307_7791,R,S,R
1307_7509,S,S,S
1307_8164,,S,R
1307_7876,S,S,S
1307_7742,R,S,R
1307_7919,S,S,S
1307_7995,S,S,R
1307_7634,R,S,R
1307_7950,S,S,R
1307_8034,R,S,R
1307_7806,R,,R
1307_8020,R,S,R
1307_7512,S,S,S
1307_7536,R,S,R
1307_8083,S,S,S
1307_7885,S,S,S
