Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster
485_4998,2013,Italy,Human,Human,Human,ITA,2
485_12903,2017,Australia,Human,,,AUS,3
485_9505,2015,United Kingdom,Human,Human,Human,GBR,197
485_15022,2017,Australia,Human,,,AUS,10
485_3614,2014,USA,Human,Human,Human,USA,60
485_9455,2014,United Kingdom,Human,Human,Human,GBR,34
485_14323,2017,Australia,Human,,,AUS,12
485_13113,2017,Australia,Human,,,AUS,3
485_17579,2017,Australia,Human,,,AUS,7
485_17578,2017,Australia,Human,,,AUS,6
485_8710,2015,United Kingdom,Human,Human,Human,GBR,11
485_9658,2006,Australia,Human,Human,Human,AUS,182
485_13669,2017,Australia,Human,,,AUS,149
485_4181,2012,USA,Human,Human,Human,USA,32
485_9184,2013,United Kingdom,Human,Human,Human,GBR,6
485_14253,2017,Australia,Human,,,AUS,7
485_13728,2017,Australia,Human,,,AUS,1146
485_15572,2017,Australia,Human,,,AUS,3
485_17641,2017,Australia,Human,,,AUS,372
485_17588,2017,Australia,Human,,,AUS,368
485_5180,2013,Sweden,Human,Human,Human,SWE,1
485_3086,2015,Japan,Human,Human,Human,JPN,82
485_9105,2014,United Kingdom,Human,Human,Human,GBR,6
485_17026,2017,Australia,Human,,,AUS,24
485_4908,2015,Japan,Human,Human,Human,JPN,20
485_14455,2017,Australia,Human,,,AUS,2
485_16601,2017,Australia,Human,,,AUS,18
485_14914,2017,Australia,Human,,,AUS,5
485_9601,2015,Japan,Human,Human,Human,JPN,20
485_8347,2014,United Kingdom,Human,Human,Human,GBR,8
485_358,2009,Canada,Human,Human,Human,CAN,1
485_14793,2017,Australia,Human,,,AUS,2
485_802,2010,Canada,Human,Human,Human,CAN,1
485_13174,2017,Australia,Human,,,AUS,8
485_8621,2015,United Kingdom,Human,Human,Human,GBR,97
485_15005,2017,Australia,Human,,,AUS,9
485_15614,2017,Australia,Human,,,AUS,9
485_16691,2017,Australia,Human,,,AUS,5
485_8284,2016,United Kingdom,Human,Human,Human,GBR,15
485_506,2014,Canada,Human,Human,Human,CAN,8
485_72,2010,USA,Human,Human,Human,USA,1
485_5199,2013,Sweden,Human,Human,Human,SWE,801
485_15463,2012,USA,Human,,,USA,106
485_3665,2012,USA,Human,Human,Human,USA,88
485_9735,2014,Australia,Human,Human,Human,AUS,1
485_5254,2013,Netherlands,Human,Human,Human,NLD,11
485_13464,2017,Australia,Human,,,AUS,8
485_13580,2017,Australia,Human,,,AUS,177
485_230,2009,USA,Human,Human,Human,USA,953
485_132,2009,USA,Human,Human,Human,USA,1
485_13130,2017,Australia,Human,,,AUS,1200
485_16524,2017,Australia,Human,,,AUS,4
485_17801,2009,Brazil,Human,,,BRA,977
485_4770,2015,Japan,Human,Human,Human,JPN,852
485_3885,2013,USA,Human,Human,Human,USA,105
485_17670,2017,Australia,Human,,,AUS,3
485_4819,2015,Japan,Human,Human,Human,JPN,85
485_17559,2017,Australia,Human,,,AUS,4
485_9587,2015,Japan,Human,Human,Human,JPN,20
485_247,2009,USA,Human,Human,Human,USA,950
485_4312,2012,USA,Human,Human,Human,USA,168
485_13615,2017,Australia,Human,,,AUS,1152
485_4860,2015,Japan,Human,Human,Human,JPN,1
485_5185,2013,Sweden,Human,Human,Human,SWE,1
485_5123,2013,Denmark,Human,Human,Human,DNK,138
485_13428,2017,Australia,Human,,,AUS,5
485_13003,2017,Australia,Human,,,AUS,9
485_16413,2017,Australia,Human,,,AUS,5
485_9657,2006,Australia,Human,Human,Human,AUS,3
485_14149,2017,Australia,Human,,,AUS,13
485_12947,2017,Australia,Human,,,AUS,4
485_5331,2013,United Kingdom,Human,Human,Human,GBR,10
485_14261,2017,Australia,Human,,,AUS,7
485_751,2009,Canada,Human,Human,Human,CAN,613
485_15059,2017,Australia,Human,,,AUS,39
485_8492,2013,United Kingdom,Human,Human,Human,GBR,37
485_5272,2013,Sweden,Human,Human,Human,SWE,783
485_13561,2017,Australia,Human,,,AUS,109
485_5311,2013,Iceland,Human,Human,Human,ISL,3
485_756,2009,Canada,Human,Human,Human,CAN,1
485_17553,2017,Australia,Human,,,AUS,3
485_9775,2014,Ireland,Human,Human,Human,IRL,1
485_13232,2017,Australia,Human,,,AUS,1193
485_13508,2017,Australia,Human,,,AUS,13
485_17480,2017,Australia,Human,,,AUS,1
485_16957,2017,Australia,Human,,,AUS,6
485_16594,2017,Australia,Human,,,AUS,9
485_5604,2013,France,Human,Human,Human,FRA,6
485_14480,2017,Australia,Human,,,AUS,51
485_6921,2015,New Zealand,Human,Human,Human,NZL,8
485_818,2011,Canada,Human,Human,Human,CAN,589
485_14398,2017,Australia,Human,,,AUS,4
485_13521,2017,Australia,Human,,,AUS,4
485_13659,2017,Australia,Human,,,AUS,1148
485_8891,2015,United Kingdom,Human,Human,Human,GBR,9
485_8752,2015,United Kingdom,Human,Human,Human,GBR,15
485_119,2010,USA,Human,Human,Human,USA,33
485_16435,2017,Australia,Human,,,AUS,4
485_17059,2017,Australia,Human,,,AUS,1
485_17035,2017,Australia,Human,,,AUS,7
485_13475,2017,Australia,Human,,,AUS,3
485_8852,2015,United Kingdom,Human,Human,Human,GBR,11
485_203,2010,USA,Human,Human,Human,USA,1
485_15524,2017,Australia,Human,,,AUS,4
485_12901,2017,Australia,Human,,,AUS,4
485_13368,2017,Australia,Human,,,AUS,4
485_14876,2017,Australia,Human,,,AUS,30
485_9225,2013,United Kingdom,Human,Human,Human,GBR,6
485_225,2010,USA,Human,Human,Human,USA,2
485_421,2012,USA,Human,Human,Human,USA,1
485_8898,2015,United Kingdom,Human,Human,Human,GBR,11
485_14277,2017,Australia,Human,,,AUS,68
485_13846,2017,Australia,Human,,,AUS,3
485_5320,2013,United Kingdom,Human,Human,Human,GBR,71
485_9650,2006,Australia,Human,Human,Human,AUS,10
485_9579,2015,Japan,Human,Human,Human,JPN,110
485_281,2009,USA,Human,Human,Human,USA,1
485_13607,2017,Australia,Human,,,AUS,3
485_17567,2017,Australia,Human,,,AUS,7
485_4369,2012,USA,Human,Human,Human,USA,27
485_3936,2013,USA,Human,Human,Human,USA,1
485_5462,2013,Portugal,Human,Human,Human,PRT,2
485_17654,2017,Australia,Human,,,AUS,388
485_8283,2016,United Kingdom,Human,Human,Human,GBR,13
485_235,2009,USA,Human,Human,Human,USA,2
485_80,2010,USA,Human,Human,Human,USA,1
485_9039,2013,United Kingdom,Human,Human,Human,GBR,6
485_9607,2015,Japan,Human,Human,Human,JPN,38
485_824,2011,Canada,Human,Human,Human,CAN,2
485_9359,2013,United Kingdom,Human,Human,Human,GBR,346
485_15548,2017,Australia,Human,,,AUS,1039
485_5861,2012,USA,Human,Human,Human,USA,124
485_8918,2014,United Kingdom,Human,Human,Human,GBR,8
485_9635,1997,Japan,Human,Human,Human,JPN,434
485_13053,2017,Australia,Human,,,AUS,127
485_15014,2017,Australia,Human,,,AUS,5
485_4840,2015,Japan,Human,Human,Human,JPN,114
485_3668,2012,USA,Human,Human,Human,USA,66
485_3656,2012,USA,Human,Human,Human,USA,6
485_4172,2012,USA,Human,Human,Human,USA,6
485_14998,2017,Australia,Human,,,AUS,4
485_4386,2012,USA,Human,Human,Human,USA,2
485_17491,2017,Australia,Human,,,AUS,1008
485_5026,2013,Spain,Human,Human,Human,ESP,1
485_4478,2013,USA,Human,Human,Human,USA,211
485_9586,2015,Japan,Human,Human,Human,JPN,20
485_13404,2017,Australia,Human,,,AUS,12
485_14025,2017,Australia,Human,,,AUS,9
485_13519,2017,Australia,Human,,,AUS,3
485_14179,2017,Australia,Human,,,AUS,3
485_5003,2013,Italy,Human,Human,Human,ITA,826
485_5082,2013,Belgium,Human,Human,Human,BEL,1
485_9654,2006,Australia,Human,Human,Human,AUS,243
485_9734,2013,Ireland,Human,Human,Human,IRL,96
485_3676,2012,USA,Human,Human,Human,USA,19
485_4023,2013,USA,Human,Human,Human,USA,2
485_8851,2015,United Kingdom,Human,Human,Human,GBR,19
485_5677,2013,Belgium,Human,Human,Human,BEL,47
485_9598,2015,Japan,Human,Human,Human,JPN,20
