Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,,,,
1311_6189,2018,Denmark,Human,,,DNK,33,,,,,,,,
1311_2984,2013,Canada,Human,Human,Human,CAN,97,,,,,,,,
1311_3033,2011,Canada,Human,Human,Human,CAN,12,,,,,,,,
1311_6204,2018,Denmark,Human,,,DNK,18,,,,,,,,
1311_3064,2005,Georgia,Human,Human,Human,GEO,1,,,,,,,,
1311_3018,2011,Canada,Human,Human,Human,CAN,7,,,,,,,,
1311_3054,2010,USA,Human,Human,Human,USA,1,,,,,,,,
1311_3080,2006,Georgia,Human,Human,Human,GEO,1,,,,,,,,
1311_3014,2011,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3103,2010,Canada,Human,Human,Human,CAN,40,,,,,,,,
1311_3100,2010,Canada,Human,Human,Human,CAN,43,,,,,,,,
1311_2990,2010,Canada,Human,Human,Human,CAN,92,,,,,,,,
1311_3057,2010,USA,Human,Human,Human,USA,2,,,,,,,,
1311_3084,2006,Georgia,Human,Human,Human,GEO,1,,,,,,,,
1311_2978,2012,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3083,2005,Georgia,Human,Human,Human,GEO,1,,,,,,,,
1311_2955,2012,Canada,Human,Human,Human,CAN,5,,,,,,,,
1311_3070,2006,USA,Human,Human,Human,USA,10,,,,,,,,
1311_2976,2013,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3091,2011,Canada,Human,Human,Human,CAN,47,,,,,,,,
1311_3096,2013,Canada,Human,Human,Human,CAN,46,,,,,,,,
1311_2975,2014,Canada,Human,Human,Human,CAN,100,,,,,,,,
1311_3022,2012,Canada,Human,Human,Human,CAN,78,,,,,,,,
1311_3032,2011,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3016,2011,Canada,Human,Human,Human,CAN,82,,,,,,,,
1311_3017,2011,Canada,Human,Human,Human,CAN,81,,,,,,,,
1311_3002,2011,Canada,Human,Human,Human,CAN,7,,,,,,,,
1311_3009,2011,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3081,2006,USA,Human,Human,Human,USA,12,,,,,,,,
1311_2972,2014,Canada,Human,Human,Human,CAN,102,,,,,,,,
1311_3078,2011,Canada,Human,Human,Human,CAN,52,,,,,,,,
1311_3026,2011,Canada,Human,Human,Human,CAN,75,,,,,,,,
1311_2964,2013,Canada,Human,Human,Human,CAN,2,,,,,,,,
1311_2991,2014,Canada,Human,Human,Human,CAN,91,,,,,,,,
1311_3004,2011,Canada,Human,Human,Human,CAN,86,,,,,,,,
1311_3025,2012,Canada,Human,Human,Human,CAN,76,,,,,,,,
1311_3073,2006,USA,Human,Human,Human,USA,4,,,,,,,,
1311_3012,2011,Canada,Human,Human,Human,CAN,1,,,,,,,,
1311_3039,2014,Canada,Human,Human,Human,CAN,11,,,,,,,,
1311_2960,2012,Canada,Human,Human,Human,CAN,106,,,,,,,,
1311_3105,2011,Canada,Human,Human,Human,CAN,9,,,,,,,,
1311_3028,2011,Canada,Human,Human,Human,CAN,74,,,,,,,,
1311_2999,2010,Canada,Human,Human,Human,CAN,88,,,,,,,,
1311_2966,2013,Canada,Human,Human,Human,CAN,8,,,,,,,,
1311_3010,2011,Canada,Human,Human,Human,CAN,6,,,,,,,,
1311_3098,2014,Canada,Human,Human,Human,CAN,45,,,,,,,,
1311_3013,2011,Canada,Human,Human,Human,CAN,84,,,,,,,,
1311_3065,2005,USA,Human,Human,Human,USA,58,,,,,,,,
1311_2985,2013,Canada,Human,Human,Human,CAN,96,,,,,,,,
1311_3076,2006,USA,Human,Human,Human,USA,1,,,,,,,,
