Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,,
1717_973,2016,France,Human,,,FRA,16,,,,,,
1717_915,2013,France,Human,,,FRA,87,,,,,,
1717_1025,2009,Mayotte,Human,,,MYT,37,,,,,,
1717_1027,2015,France,Human,,,FRA,11,,,,,,
1717_840,1993,Russian Federation,Human,,,RUS,129,,,,,,
1717_943,2015,New Caledonia,Human,,,NCL,20,,,,,,
1717_845,1986,Russian Federation,Human,,,RUS,125,,,,,,
1717_878,2009,Mayotte,Human,,,MYT,8,,,,,,
1717_1030,2016,France,Human,,,FRA,165,,,,,,
1717_855,1994,Sweden,Human,,,SWE,116,,,,,,
1717_788,2002,New Caledonia,Human,,,NCL,1,,,,,,
1717_812,1999,France,Human,,,FRA,151,,,,,,
1717_857,1994,Thailand,Human,,,THA,115,,,,,,
1717_963,2016,France,Human,,,FRA,60,,,,,,
1717_1019,2017,France,Human,,,FRA,168,,,,,,
1717_793,1981,France,Human,,,FRA,162,,,,,,
1717_987,2017,France,Human,,,FRA,48,,,,,,
1717_954,2015,France,Human,,,FRA,66,,,,,,
1717_995,2017,France,Human,,,FRA,12,,,,,,
1717_977,2016,France,Human,,,FRA,18,,,,,,
1717_844,1994,Poland,Human,,,POL,30,,,,,,
1717_865,1993,Tunisia,Human,,,TUN,109,,,,,,
1717_969,2016,France,Human,,,FRA,57,,,,,,
1717_861,1995,Vietnam,Human,,,VNM,29,,,,,,
1717_848,1990,India,Human,,,IND,123,,,,,,
1717_1010,2017,France,Human,,,FRA,174,,,,,,
1717_822,1993,France,Human,,,FRA,10,,,,,,
1717_895,2012,Mayotte,Human,,,MYT,24,,,,,,
1717_832,1994,Belarus,Human,,,BLR,136,,,,,,
1717_883,2011,France,Human,,,FRA,25,,,,,,
1717_988,2017,Mayotte,Human,,,MYT,3,,,,,,
1717_908,2013,Mayotte,Human,,,MYT,11,,,,,,
1717_914,2013,France,Human,,,FRA,88,,,,,,
1717_873,2008,Mayotte,Human,,,MYT,3,,,,,,
1717_814,1991,France,Human,,,FRA,149,,,,,,
