,Aminoglycoside,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Penicilin
623_1757,S,S,S,S,R,R,R
623_1679,S,S,S,R,R,S,R
623_1765,S,S,S,S,R,R,R
623_1843,S,S,S,S,R,S,R
623_1719,S,S,S,S,R,S,R
623_1702,S,S,S,S,S,R,R
623_1802,S,S,S,S,S,S,S
623_1844,S,S,S,S,R,S,R
623_1747,S,S,S,S,R,S,R
623_1692,S,S,S,S,R,R,R
623_1739,S,S,S,S,R,R,R
623_1705,S,S,S,R,R,S,R
623_1694,S,S,S,S,S,S,R
623_1826,S,S,S,S,R,R,R
623_1714,S,S,S,S,R,R,R
623_762,,,,,,S,
623_942,,,,,,S,
623_1701,S,S,S,S,S,R,R
623_905,,,,,,S,
623_1789,S,S,S,S,R,R,R
623_1742,S,S,S,S,R,R,R
623_1737,S,S,S,S,R,R,R
623_1771,S,S,S,S,R,R,R
623_773,,,,,,R,
623_765,,,,,,R,
623_776,,,,,,S,
623_945,,,,,,S,
623_769,,,,,,R,
623_791,,,,,,R,
623_792,,,,,,S,
623_788,,,,,,R,
623_772,,,,,,R,
623_770,,,,,,R,
623_771,,,,,,R,
623_763,,,,,,S,
623_948,,,,,,S,
623_778,,,,,,S,
623_944,,,,,,R,
623_789,,,,,,R,
623_774,,,,,,S,
623_946,,,,,,R,
623_943,,,,,,S,
623_794,,,,,,S,
