Genome ID,amoxicillin_clavulanic acid,ampicillin,azithromycin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftiofur,ceftriaxone,cephalosporin,chloramphenicol,ciprofloxacin,ertapenem,furazolidone,gentamicin,kanamycin,meropenem,nalidixic acid,netilmicin,ofloxacin,pefloxacin,spectinomycin,streptomycin,sulfamethoxazole,sulfisoxazole,sulfonamides,tetracycline,tigecycline,trimethoprim,trimethoprim_sulfamethoxazole
399587_82,S,S,S,S,S,S,S,,S,,R,,,,S,,S,S,,,S,,,R,,,R,S,S,
85569_181,,S,,,,,,,,,S,S,,S,S,S,,S,S,,,S,S,,,R,R,,R,
90370_4133,,S,S,,,,S,,,,S,S,,,S,,S,,,,S,,,,,,S,,,S
90370_4086,,R,S,,,,S,,S,,R,R,,,S,,S,,,,R,,,,,,S,,,R
590_16091,S,R,,,,S,,,S,,R,S,,,S,,,S,,,,,,,,,R,,,R
85569_84,,R,,,,,,,,,S,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_2805,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
85569_49,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
600_45,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_4964,,R,,,,,,,,S,R,S,,,,,,R,,,,,,,,,,,,R
90370_759,,S,,,,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
85569_216,,R,,,,,,,,,R,S,,S,R,S,,S,R,,,R,R,,,R,R,,S,
90371_2127,R,R,,,,S,,S,S,,R,S,,,,,,S,,,,,R,,R,,R,,,S
54388_204,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_12325,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
85569_321,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
54388_283,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
58712_70,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_1409,,S,,,S,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
85569_287,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
28901_852,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,R,,R,,,S
90371_2938,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_14149,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,S,,R,,,S
399587_77,R,R,R,S,S,S,S,,S,,R,,,,S,,S,S,,,S,,,R,,,R,S,R,
54388_292,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
28901_851,R,R,S,,,S,,S,S,,S,S,,,S,,,S,,,,,R,,S,,R,,,S
192955_433,,S,S,,,S,S,,S,,S,S,,,R,S,,S,S,,,R,R,,,R,R,,S,
192955_377,,R,S,,,S,S,,S,,S,R,,,S,S,,R,S,,,S,S,,,S,S,,S,
28901_10077,S,S,,,,S,,S,S,,S,,,,S,S,,,,,,,S,,S,,R,,,S
90371_2133,R,R,,,,R,,R,R,,S,S,,,,,,S,,,,,S,,S,,S,,,S
90370_2918,,S,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,S
90370_2848,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
98360_71,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
90370_3092,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
85569_235,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
108619_159,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
54388_237,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_16123,S,S,,,,S,,,S,,S,S,,,R,,,S,,,,,,,,,S,,,S
90370_5508,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
98360_91,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
590_12534,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_12447,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_802,S,R,S,,,S,,S,S,,S,R,,,S,,,R,,,,,R,,R,,S,,,S
590_12380,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_3088,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90371_5349,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
590_12596,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
54388_395,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
399587_45,S,S,S,S,S,S,S,,S,,S,,,,S,,S,S,,,S,,,S,,,S,S,S,
90370_4860,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_12593,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,S,,,S
90370_4900,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
90370_3503,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
90370_3581,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_14177,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_3335,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
590_13680,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_5340,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,R,
28901_16258,,R,,,,,,S,,,,,,,S,,,,,,,,,,,,,,,S
85569_26,,R,,,,,,,,,R,,,,,,,S,,,,,R,,,R,R,,S,
590_15010,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_16938,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_5505,,S,S,,,,S,,S,,S,S,S,,S,,S,S,,,S,,,,,,S,,,S
590_12212,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_16874,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_2755,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
90371_5467,,R,,,R,,S,,R,,R,,S,,S,,S,S,,,S,,,,,,R,,,R
590_12321,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_3181,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
85569_182,,R,,,,,,,,,R,S,,S,S,R,,S,S,,,R,R,,,R,R,,R,
590_16691,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,S,,R,,,S
90370_3191,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
57045_19,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90371_5300,S,R,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
59201_4213,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
590_14590,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_2773,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
590_15331,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,,,R,,,S
192955_378,,R,S,,,S,S,,S,,S,R,,,S,S,,R,S,,,S,S,,,S,S,,S,
90370_2841,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
90370_4897,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90371_5418,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
98360_76,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
590_16429,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
85569_147,,R,,,,,,,,,S,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_4825,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_12255,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5498,,R,,,R,,S,,R,,R,,S,,S,,S,S,,,S,,,,,,R,,,R
149391_37,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
28901_848,R,R,S,,,R,,R,R,,R,R,,,S,,,R,,,,,R,,R,,R,,,R
590_12598,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_17807,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_21076,,R,,,R,S,S,,,,,S,,,,,S,S,,,,,,,,,,,,R
90370_2542,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
590_12080,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_5497,,R,S,,,,S,,S,,R,R,S,,S,,S,R,,,R,,,,,,R,,,R
108619_46,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
590_12525,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_16301,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
399587_63,S,S,S,S,S,S,S,,S,,S,,,,S,,S,S,,,S,,,S,,,R,S,S,
90371_5246,S,R,,,,,S,,S,,R,S,,,S,,,S,,S,,,,,,,,,R,
90370_5468,,R,S,,,,S,,S,,R,R,S,,S,,S,R,,,R,,,,,,R,,,R
85569_107,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,R,
590_12510,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,,,R,,,S
54388_188,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_583,,S,,,,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
85569_110,,S,,,,,,,,,S,S,,S,S,S,,S,S,,,R,R,,,S,S,,S,
90370_4126,,S,S,,,,S,,S,,S,S,,,S,,S,,,,S,,,,,,S,,,S
149391_23,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_4097,,R,S,,,,S,,S,,R,R,,,S,,S,,,,R,,,,,,S,,,R
54388_398,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,,,,S
59201_4141,,R,S,,,,,,R,,R,S,,,,,S,,,,,,,,,,,S,,R
28901_16285,,R,,,,,,S,,,,,,,R,,,,,,,,,,,,,,,R
90371_5325,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,R,
28147_38,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
108619_175,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_14903,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_12219,S,R,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_12310,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_5333,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
90370_534,,S,,,,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
54388_403,,S,S,,,,S,,S,,S,R,S,,S,,S,S,,,S,,,,,,S,,,S
90371_5457,,R,,,S,,S,,S,,R,,S,,S,,S,S,,,S,,,,,,S,,,R
590_17793,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_16535,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_4110,,R,S,,,,S,,S,,R,R,,,S,,,,,,R,,,,,,S,,,R
90370_4909,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
90371_5452,,R,,,S,,S,,S,,R,,S,,S,,S,S,,,S,,,,,,S,,,R
90370_2934,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12215,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5264,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
28901_829,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
85569_264,,R,,,,,,,,,R,S,,R,S,S,,S,S,,,R,R,,,R,R,,S,
90370_4999,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
90370_588,,S,,,S,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
28901_822,R,R,S,,,R,,R,R,,R,S,,,S,,,S,,,,,R,,R,,R,,,R
90370_3479,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
85569_24,,S,,,,,,,,,S,,,,,,,S,,,,,S,,,S,S,,S,
85569_86,,R,,,,,,,,,S,S,,S,S,S,,S,S,,,S,R,,,R,R,,S,
90370_1388,,S,,,,,,,,,S,,,,S,S,,S,,,,S,,S,,,S,,S,
90370_2807,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
54388_344,,S,S,,,,,,,,S,S,,,,,,R,,,,S,S,,,S,S,,S,
85569_195,,R,,,,,,,,,R,S,,S,S,R,,S,S,,,R,R,,,R,R,,S,
59201_4118,,R,R,,,,,,R,,R,S,,,,,S,,,,,,,,,,,S,,R
90370_4823,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
28901_21053,,R,,,R,S,R,,,,,S,,,,,S,S,,,,,,,,,,,,R
28901_10089,S,S,,,,S,,S,S,,S,,,,S,S,,,,,,,S,,S,,S,,,S
90371_5440,,R,,,S,,S,,S,,S,,S,,S,,S,S,,,S,,,,,,S,,,R
192955_421,,R,S,,,S,S,,S,,S,R,,,S,S,,R,S,,,R,R,,,R,R,,R,
90370_3004,,R,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
28901_800,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,R,,S,,R,,,S
90370_1402,,S,,,S,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
90370_2845,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
54388_307,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
90370_3179,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
90371_6244,,,,,,,,,,,S,S,,,,,,,,,,,R,,,,,,,S
399587_65,S,S,S,S,S,S,S,,S,,S,,,,S,,S,S,,,S,,,S,,,R,S,S,
90370_3559,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
54388_377,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
90370_2520,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
28901_16303,,R,,,,,,,S,,S,S,,,S,S,,S,,,,,R,,R,,R,,,S
28901_858,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,R,,R,,S,,,R
108619_153,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_5560,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,
590_12302,R,R,,,,S,,,S,,R,S,,,S,,,S,,,,,,,,,R,,,S
59201_4131,,R,S,,,,,,R,,R,S,,,,,S,,,,,,,,,,,S,,R
90371_5327,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
28901_840,R,R,S,,,S,,S,S,,S,R,,,R,,,R,,,,,R,,R,,R,,,S
90370_3425,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_12364,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
54388_390,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
90370_2908,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,S
90370_2543,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
90371_2935,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
59201_4098,,S,,S,S,,S,,S,,S,R,,,,,S,,,,R,,,,,,,,,S
399587_75,R,R,S,S,S,S,S,,S,,R,,,,S,,S,S,,,S,,,S,,,S,S,S,
590_12411,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_15182,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_2483,R,R,,,,S,,S,S,,R,S,,,,,,S,,,,,R,,R,,R,,,S
28901_826,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_17058,S,S,,,,S,,,S,,S,R,,,S,,,S,,,,,,,S,,R,,,S
590_12349,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_16265,,R,,,,,,S,,,,,,,S,,,,,,,,,,,,,,,S
90371_5249,R,R,,,,,R,,R,,S,S,,,S,,,S,,S,,,,,,,,,S,
590_12612,S,R,,,,S,,,S,,S,S,,,R,,,S,,,,,,,S,,R,,,S
54388_234,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_4113,,S,S,,,,S,,S,,S,S,,,S,,S,,,,S,,,,,,S,,,S
2172527_3,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90371_3118,,R,,,,,,,R,,,S,,,,,,,,,,,,,,,,,,S
90370_3340,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
90370_3526,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
590_12465,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_12617,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_2859,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
90371_5506,,R,,,S,,S,,S,,R,,S,,S,,S,S,,,S,,,,,,S,,,R
590_12535,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_897,,S,,,,,,,,,S,S,,,S,,,,,,,,,,,,,,S,
399587_59,S,S,S,S,S,S,S,,S,,R,,,,S,,S,S,,,S,,,R,,,R,S,R,
90370_2837,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
590_11959,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_12385,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
85569_77,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
54388_210,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90371_5243,R,R,,,,,R,,R,,R,S,,,S,,,R,,S,,,,,,,,,R,
590_12290,S,S,,,,S,,,S,,S,S,,,R,,,S,,,,,,,,,R,,,S
90370_527,,S,,,,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
590_12362,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_12065,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_12217,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
54388_243,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
54388_190,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
58712_89,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
54388_299,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
54388_225,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_4122,,R,S,,,,S,,S,,S,S,,,S,,S,,,,S,,,,,,R,,,R
90370_2913,,S,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
590_12206,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_3057,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90370_2833,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
590_12509,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_12242,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_15397,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_3621,S,R,S,,,S,,,R,,R,R,,,S,,S,,,,,,R,,,,S,,,R
58712_67,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90371_5253,R,R,,,,,S,,S,,R,R,,,R,,,S,,S,,,,,,,,,S,
85569_45,,R,,,,,,,,,R,S,,S,R,R,,S,R,,,R,R,,,R,R,,R,
108619_51,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
90370_3363,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,
28901_823,R,R,S,,,R,,R,R,,S,S,,,S,,,S,,,,,S,,R,,S,,,S
108619_181,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,R,,R,,S,,,S
90370_3451,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
54388_223,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
108619_149,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
595_151,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
28901_21058,,R,,,,S,R,,,,,S,,,,,S,S,,,,,,,,,,,,R
590_16959,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
59201_4217,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
590_16654,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_12216,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,S,,S,,,S
90370_5487,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
115981_55,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_2894,,S,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
85569_199,,R,,,,,,,,,S,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
28901_839,R,R,S,,,R,,R,R,,R,S,,,S,,,S,,,,,R,,R,,R,,,R
28901_786,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
54388_338,,S,S,,,,,,,,S,S,,,,,,R,,,,S,S,,,S,S,,S,
90370_2476,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
28901_828,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_13665,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
58712_76,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
85569_162,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
28901_815,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_5532,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
90370_4975,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
590_12481,S,S,,,,S,,,S,,S,R,,,S,,,R,,,,,,,,,R,,,S
85569_355,,S,,,,,,,,,S,,,,,,,S,,,,,R,,,R,S,,S,
90370_3161,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
90371_2131,R,R,,,,R,,R,R,,S,S,,,,,,S,,,,,S,,S,,S,,,S
90370_3046,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90370_3018,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12263,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5335,S,S,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
90370_3034,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12497,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_220,,S,,,S,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
28901_8432,,R,,,,,S,,S,,,,,,,,,,,,,,,,,,,,,S
590_12339,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
85569_227,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
28901_808,R,R,S,,,R,,,,,R,S,,,S,,,S,,,,,R,,R,,R,,,S
590_12618,R,R,,,,R,,,R,,R,S,,,S,,,S,,,,,,,,,R,,,S
90370_2737,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
28901_9242,,S,,,,,,,,,,S,,,,,,,,,,,,,,,,S,,S
590_12597,S,S,,,,R,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_4130,,S,S,,,,S,,S,,S,S,,,S,,S,,,,S,,,,,,S,,,S
85569_303,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
59201_4092,,S,,S,S,,S,,S,,S,R,,,,,S,,,,R,,,,,,,,,S
90371_2931,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_12370,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_3318,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
590_15962,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_3042,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
28901_792,R,R,S,,,R,,R,R,,R,S,,,S,,,S,,,,,R,,R,,R,,,S
90370_2757,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
85569_47,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_3588,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
54388_301,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
149539_888,,S,,,,,,,,,S,,,,,,,,,,,,S,,S,,S,,,
590_12478,S,S,,,,S,,,S,,S,S,,,R,,,S,,,,,,,,,R,,,S
90371_5270,R,R,,,,,S,,S,,R,R,,,R,,,R,,S,,,,,,,,,S,
90370_3546,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
28901_854,S,S,S,,,S,,S,S,,S,S,,,R,,,S,,,,,R,,R,,R,,,S
399587_62,S,R,R,S,S,S,S,,S,,S,,,,S,,S,S,,,S,,,R,,,R,S,R,
108619_41,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
590_12415,S,R,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_2919,,S,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,S
590_12604,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_4957,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_608,,S,,,,,,,,,S,,,,S,S,,S,,,,S,,S,,,S,,S,
28901_16298,,R,,,,,,,S,,S,S,,,S,S,,S,,,,,R,,R,,R,,,S
98360_95,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,S,,R,,R,,,S
54388_322,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
90371_2138,R,R,,,,R,,R,R,,S,S,,,,,,S,,,,,R,,R,,R,,,S
