Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_5199,S,S,,S,R,,,,,
485_15463,S,S,,S,S,,,,,
485_3665,S,S,,S,S,,,,,
485_9735,S,,,R,R,,,R,S,
485_5254,S,S,,S,S,,,,,
485_13464,S,,,S,S,,,S,S,S
485_13580,S,,,S,R,,,R,S,
485_230,S,S,S,S,R,,,,S,R
485_132,S,S,R,S,R,,,,S,R
485_13130,R,,,S,S,,,S,S,S
485_16524,S,,,S,S,,,S,S,S
485_17801,,S,,S,R,,R,,,
485_4770,R,S,,S,,,,,,
485_3885,S,S,,S,S,,,,,
485_17670,S,,,S,S,,,R,S,S
485_4819,R,S,,S,R,,,,,
485_17559,S,,,S,S,,,S,S,S
485_9587,S,R,,R,,,,,,
485_247,S,S,S,S,R,,,,S,R
485_4312,R,S,,S,R,,,,,
485_13615,S,,,S,S,,,S,S,S
485_5185,S,S,,S,R,,,,,
485_5123,S,S,,S,R,,,,,
485_13428,S,,,S,S,,,S,S,S
485_13003,S,,,S,R,,,R,S,S
485_16413,S,,,S,S,,,S,S,S
485_9657,S,,,S,S,,,R,S,S
485_14149,S,,,S,S,,,S,S,S
485_12947,R,,,S,S,,,S,S,S
485_5331,S,S,,S,S,,,,,
485_14261,S,,,S,S,,,S,S,S
485_751,S,S,,S,R,R,,R,S,R
485_15059,S,,,S,R,,,R,S,S
485_8492,S,S,,S,S,,,,,
485_5272,S,S,,S,R,,,,,
485_13561,S,,,S,R,,,S,S,S
485_5311,S,S,,S,S,,,,,
485_756,S,S,,S,R,R,,R,S,R
485_17553,S,,,S,S,,,S,S,S
485_13232,S,,,S,R,,,R,S,
485_13508,S,,,S,S,,,S,S,S
485_17480,S,,,S,R,,,R,S,S
485_16957,S,,,S,R,,,R,S,S
485_16594,S,,,S,R,,,R,S,S
485_5604,S,S,,S,R,,,,,
485_14480,S,,,S,S,,,R,S,S
485_6921,S,,,,S,,,,,
485_818,S,S,,S,S,S,,S,S,R
485_14398,R,,,S,S,,,S,S,S
485_13521,S,,,S,S,,,S,S,S
485_13659,S,,,S,R,,,R,S,S
485_8752,S,S,,S,S,,,,,
485_119,S,S,S,S,S,,,,S,R
485_16435,S,,,S,S,,,S,S,S
485_17059,S,,,S,R,,,S,S,S
485_17035,S,,,S,S,,,S,S,S
485_13475,S,,,S,S,,,R,S,S
485_8852,S,S,,S,S,,,,,
485_203,S,S,R,S,R,,,,S,R
485_15524,R,,,S,S,,,S,S,S
485_12901,R,,,S,S,,,S,S,S
485_13368,S,,,S,S,,,S,S,S
485_14876,S,,,S,R,,,R,S,S
485_9225,S,S,,S,R,,,,,
485_225,R,S,S,S,S,,,,S,R
485_421,S,S,,S,S,,,,,
485_8898,S,S,,S,S,,,,,
485_14277,S,,,S,R,,,R,S,
485_13846,S,,,S,S,,,R,S,S
485_5320,S,S,,S,S,,,,,
485_9650,S,,,S,S,,,R,S,S
485_9579,S,S,,S,,,,,,
485_13607,S,,,S,S,,,R,S,S
485_17567,S,,,S,S,,,S,S,S
485_4369,R,S,,S,S,,,,,
485_3936,R,S,,S,R,,,,,
485_5462,S,S,,S,S,,,,,
485_17654,S,,,S,R,,,R,S,
485_8283,S,S,,S,,,,,,
485_235,R,S,S,S,S,,,,S,R
485_80,S,R,R,S,R,,,,S,R
485_9607,S,S,,S,,,,,,
485_824,S,S,,S,S,R,,R,S,R
485_9359,S,S,,S,S,,,,,
485_15548,S,,,S,R,,,R,S,
485_5861,S,S,,S,R,,,,,
485_8918,S,S,,S,S,,,,,
485_9635,,S,,S,,,,,,
485_13053,S,,,S,S,,,S,S,S
485_15014,S,,,S,S,,,S,S,S
485_3668,R,S,,S,R,,,,,
485_3656,S,S,,S,R,,,,,
485_4172,S,S,,S,R,,,,,
485_14998,R,,,S,S,,,S,S,S
485_4386,R,S,,S,R,,,,,
485_17491,S,,,S,R,,,R,S,S
485_5026,S,S,,S,R,,,,,
485_4478,R,S,,S,R,,,,,
485_9586,S,S,,S,,,,,,
485_13404,S,,,S,R,,,R,S,S
485_14025,S,,,S,R,,,S,S,S
485_13519,S,,,S,S,,,R,S,S
485_14179,S,,,S,S,,,R,S,S
485_5003,S,S,,S,S,,,,,
485_5082,S,S,,S,R,,,,,
485_3676,R,S,,S,S,,,,,
485_4023,S,S,,S,S,,,,,
485_8851,S,S,,S,R,,,,,
485_5677,S,S,,S,S,,,,,
485_9598,S,S,,S,,,,,,
485_55,S,S,S,S,R,,,,S,R
485_13664,S,,,S,S,,,S,S,S
485_4426,S,S,,S,S,,,,,
485_13662,S,,,S,S,,,S,S,S
485_14994,S,,,S,R,,,S,S,S
485_15590,S,,,S,S,,,R,S,S
485_8879,S,S,,S,S,,,,,
485_4479,S,S,,S,S,,,,,
485_5596,S,S,,S,R,,,,,
485_15437,S,S,,S,R,,,,,
485_17537,S,,,S,R,,,R,S,S
485_14311,S,,,S,S,,,S,S,S
485_9636,,S,,S,,,,,,
485_14118,S,,,S,R,,,S,S,S
485_13206,R,,,S,S,,,S,S,S
485_79,S,S,S,S,S,,,,S,R
485_5440,S,S,,S,S,,,,,
485_13608,S,,,S,S,,,S,S,S
485_9509,S,S,,S,S,,,,,
485_714,S,S,,S,S,S,,R,S,S
485_14530,R,,,S,S,,,S,S,S
485_5245,S,S,,S,S,,,,,
485_13900,S,,,S,S,,,S,S,S
485_4833,S,S,,S,,,,,,
485_13657,R,,,S,S,,,S,S,S
485_14087,R,,,S,R,,,S,S,S
485_17634,S,,,S,S,,,S,S,S
485_844,S,S,,S,R,R,,R,S,R
485_16700,S,,,S,S,,,S,S,S
485_14884,S,,,S,S,,,S,S,S
485_9003,S,S,,S,R,,,,,
485_4281,S,S,,S,R,,,,,
485_17644,S,,,S,S,,,S,S,S
485_383,R,S,,S,S,,,,,
485_4251,S,S,,S,S,,,,,
485_5092,S,S,,S,R,,,,,
485_13882,S,,,S,S,,,S,S,S
485_69,S,S,S,S,R,,,,S,R
485_13886,S,,,S,S,,,S,S,S
485_9164,S,S,,S,R,,,,,
485_6964,S,S,,S,S,,,,,
485_12966,S,,,S,S,,,S,S,S
485_14396,S,,,S,S,,,S,S,S
485_711,S,R,,S,R,S,,R,S,R
485_3842,S,S,,S,R,,,,,
485_392,R,S,,S,S,,,,,
485_13606,S,,,S,S,,,S,S,S
485_13027,S,,,S,S,,,S,S,S
485_9668,S,,,S,S,,,R,S,S
485_12960,S,,,S,S,,,S,S,
