Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_13171,S,,,S,S,,,S,S,S
485_13303,S,,,S,S,,,S,S,S
485_5410,S,S,,S,S,,,,,
485_13599,S,,,S,R,,,S,S,S
485_8948,S,S,,S,,,,,,
485_4904,R,,,,,,,,,
485_253,S,S,S,S,R,,,,S,R
485_5571,S,S,,S,R,,,,,
485_4131,R,S,,S,R,,,,,
485_8970,S,S,,S,R,,,,,
485_4432,R,S,,S,R,,,,,
485_13437,S,,,S,S,,,S,S,S
485_16489,S,,,S,S,,,S,S,S
485_74,S,S,R,S,R,,,,S,R
485_16768,S,,,S,R,,,R,S,S
485_13441,S,,,S,S,,,S,S,S
485_9189,S,S,,S,S,,,,,
485_17857,,S,,S,R,,R,,,
485_9102,S,S,,S,S,,,,,
485_736,S,S,,S,R,S,,R,S,R
485_14924,S,,,S,S,,,S,S,S
485_13916,S,,,S,R,,,R,S,
485_15540,S,,,S,S,,,S,S,S
485_13042,R,,,S,S,,,S,S,S
485_13557,S,,,S,R,,,R,S,S
485_17492,S,,,S,R,,,R,S,S
485_4352,R,S,,S,R,,,,,
485_8354,S,S,,S,S,,,,,
485_14122,S,,,S,S,,,R,S,S
485_53,S,S,S,S,S,,,,S,R
485_15476,S,S,,S,S,,,,,
485_4994,S,R,,R,R,,,,,
485_13291,S,,,S,R,,,R,S,S
485_13481,S,,,S,S,,,S,S,S
485_9662,S,,,S,R,,,R,S,S
485_553,R,S,,S,,,,,,
485_13364,S,,,S,S,,,R,S,S
485_148,S,S,S,S,R,,,,S,R
485_13055,S,,,S,S,,,S,S,S
485_17489,S,,,S,S,,,S,S,S
485_9146,S,S,,S,S,,,,,
485_14143,S,,,S,R,,,S,S,S
485_13880,S,,,S,S,,,S,S,S
485_15034,R,,,S,S,,,S,S,S
485_14071,S,,,S,S,,,S,S,S
485_8334,S,S,,S,S,,,,,
485_4329,R,S,,S,S,,,,,
485_14459,S,,,S,S,,,R,S,S
485_13581,S,,,S,S,,,S,S,S
485_13479,S,,,S,S,,,S,S,S
485_8556,S,S,,S,R,,,,,
485_86,S,S,S,S,R,,,,S,R
485_14240,S,,,S,S,,,S,S,S
485_13619,S,,,S,S,,,S,S,S
485_63,S,S,R,S,R,,,,S,R
485_8476,S,S,,S,S,,,,,
485_8575,S,S,,S,S,,,,,
485_14264,S,,,S,R,,,S,S,S
485_15460,S,S,,S,S,,,,,
485_14934,S,,,S,S,,,S,S,S
485_14532,R,,,S,S,,,S,S,S
485_14886,S,,,S,S,,,S,S,S
485_13932,S,,,S,S,,,S,S,S
485_4046,S,S,,S,R,,,,,
485_4132,S,S,,S,R,,,,,
485_15549,S,,,S,R,,,R,S,S
485_17512,S,,,S,S,,,S,S,S
485_9367,S,S,,S,R,,,,,
485_14078,S,,,S,S,,,S,S,S
485_14236,S,,,S,S,,,S,S,S
485_14897,S,,,S,S,,,R,S,S
485_3977,R,S,,S,S,,,,,
485_3973,R,S,,S,R,,,,,
485_17611,S,,,S,R,,,R,S,
485_75,S,R,R,S,R,,,,S,R
485_14294,S,,,S,S,,,S,S,S
485_14031,S,,,S,S,,,S,S,S
485_17495,S,,,S,S,,,S,S,S
485_8912,S,S,,S,R,,,,,
485_13568,S,,,S,R,,,S,S,S
485_13214,S,,,S,R,,,R,S,S
485_4448,,S,,S,R,,,,,
485_14982,S,,,S,R,,,R,S,S
485_9761,R,S,,S,S,,,,S,R
485_4286,,S,,S,R,,,,,
485_4762,S,S,,S,R,,,,,
485_8650,S,S,,S,R,,,,,
485_3828,R,S,,S,R,,,,,
485_15049,S,,,S,R,,,S,S,S
485_4188,R,S,,,R,,,,,
485_5613,S,S,,S,R,,,,,
485_8696,S,S,,S,S,,,,,
485_9176,S,S,,S,,,,,,
485_7857,S,S,,S,S,,,R,S,S
485_13996,S,,,S,R,,,R,S,S
485_13889,S,,,S,S,,,S,S,S
485_6777,S,S,,S,S,,,,,
485_16680,S,,,S,S,,,S,S,S
485_4087,R,S,,S,R,,,,,
485_8542,S,S,,S,S,,,,,
485_5503,S,S,,S,R,,,,,
485_16868,S,,,S,S,,,S,S,S
485_14896,S,,,S,S,,,S,S,S
485_12979,S,,,S,S,,,S,S,
485_16547,S,,,S,R,,,S,S,S
485_13538,S,,,S,S,,,R,S,S
485_13949,S,,,S,S,,,S,S,S
485_13246,S,,,S,S,,,R,S,S
485_14336,S,,,S,S,,,S,S,S
485_4501,R,S,,S,S,,,,,
485_13553,R,,,S,S,,,S,S,S
485_797,S,S,,S,R,S,,R,S,R
485_792,S,S,,S,R,R,,R,S,R
485_551,R,S,,S,,,,,,
485_13133,R,,,S,S,,,S,S,S
485_17900,R,,,S,,,,,,
485_6793,S,S,,S,R,,,,,
485_3986,S,S,,S,S,,,,,
485_12935,S,,,S,S,,,R,S,S
485_14059,S,,,S,R,,,S,S,S
485_5494,S,S,,S,S,,,,,
485_6780,S,S,,S,S,,,,,
485_14536,S,,,S,S,,,S,S,S
485_9755,S,S,,S,S,,,,S,R
485_9622,S,S,,S,,,,,,
485_13716,S,,,S,S,,,S,S,S
485_13121,S,,,S,R,,,R,S,
485_5542,S,S,,S,S,,,,,
485_5293,S,S,,S,S,,,,,
485_14816,S,,,S,S,,,S,S,S
485_6972,S,S,,S,S,,,,,
485_5182,S,S,,S,R,,,,,
485_7109,S,,,,S,,,,,
485_9370,S,S,,S,S,,,,,
485_17860,,S,,S,R,,R,,,
485_12928,S,,,S,R,,,S,S,
485_13743,S,,,S,S,,,S,S,S
485_14460,S,,,S,S,,,S,S,S
485_13957,S,,,S,S,,,S,S,S
485_14269,S,,,S,S,,,S,S,S
485_594,R,S,,S,,,,,,
485_13542,S,,,S,R,,,R,S,S
485_5328,S,S,,S,S,,,,,
485_4184,R,S,,S,R,,,,,
485_7747,S,S,,S,S,,,R,S,R
485_13677,S,,,S,S,,,S,S,S
485_13410,S,,,S,S,,,R,S,S
485_5429,S,S,,S,R,,,,,
485_13434,S,,,S,S,,,S,S,S
485_5511,S,S,,S,R,,,,,
485_5018,S,S,,S,S,,,,,
485_14382,S,,,S,S,,,S,S,S
485_5170,S,S,,S,R,,,,,
485_5035,S,S,,S,S,,,,,
485_14863,S,,,S,R,,,R,S,S
485_842,S,S,,S,R,R,,R,S,R
485_5616,S,S,,S,S,,,,,
485_3672,S,S,,S,R,,,,,
485_13984,S,,,S,S,,,S,S,S
485_12974,S,,,S,S,,,S,S,S
485_15021,S,,,S,S,,,R,S,S
485_4088,R,S,,S,S,,,,,
485_9041,S,S,,S,S,,,,,
485_14276,S,,,S,S,,,S,S,S
485_179,S,S,S,S,R,,,,S,R
485_153,S,S,R,S,R,,,,S,R
485_274,S,S,S,S,R,,,,S,R
485_60,S,S,S,S,R,,,,S,R
485_8625,S,S,,S,R,,,,,
485_17813,,S,,S,R,,R,,,
485_14295,S,,,S,S,,,S,S,S
485_9595,S,R,,R,,,,,,
485_14192,S,,,S,S,,,S,S,S
485_17505,S,,,S,S,,,R,S,S
485_5173,S,S,,S,S,,,,,
485_17618,R,,,S,R,,,R,S,S
485_17758,,R,,S,R,,R,,,
485_14487,S,,,S,S,,,R,S,S
485_17540,S,,,S,S,,,S,S,S
485_9538,S,S,,S,R,,,,,
485_7083,R,,,,R,,,,,
485_13843,S,,,S,S,,,S,S,S
485_9623,S,R,,S,,,,,,
485_13579,S,,,S,S,,,S,S,S
485_3787,R,S,,S,S,,,,,
485_14862,S,,,S,R,,,R,S,S
485_17027,S,,,S,S,,,S,S,S
485_13276,S,,,S,S,,,S,S,S
485_15607,S,,,S,R,,,S,S,S
485_6782,S,S,,S,S,,,,,
485_14517,S,,,S,S,,,S,S,S
485_14443,S,,,S,S,,,S,S,S
485_12949,S,,,S,R,,,S,S,S
485_17600,S,,,S,S,,,S,S,S
485_14222,S,,,S,S,,,R,S,S
485_3627,R,S,,S,R,,,,,
485_13483,R,,,S,S,,,S,S,S
485_4484,S,S,,S,R,,,,,
485_16436,S,,,S,S,,,S,S,S
485_16696,S,,,S,S,,,R,S,S
485_373,R,S,,S,,,,,,
485_4817,S,S,,S,,,,,,
485_17557,S,,,S,S,,,S,S,S
485_5177,S,S,,S,S,,,,,
485_14534,S,,,S,S,,,S,S,S
485_17875,,S,,S,R,,R,,,
485_9014,S,S,,S,,,,,,
485_16634,S,,,S,S,,,R,S,S
485_14960,S,,,S,R,,,S,S,
485_15603,S,,,S,R,,,R,S,S
485_808,S,S,,S,R,R,,R,S,R
485_14502,S,,,S,R,,,R,S,S
485_4228,S,S,,S,R,,,,,
485_13359,S,,,S,S,,,S,S,S
485_17520,S,,,S,S,,,S,S,S
485_9073,S,S,,S,S,,,,,
485_9071,S,S,,S,R,,,,,
485_13966,S,,,S,S,,,S,S,S
485_4276,R,S,,S,S,,,,,
485_9617,S,S,,S,,,,,,
485_7003,S,,,,S,,,,,
485_4851,R,S,,S,R,,,,,
485_4879,S,S,,S,,,,,,
485_8867,S,S,,S,S,,,,,
485_340,R,S,,S,,,,,,
485_280,S,S,S,S,S,,,,S,R
485_12887,S,,,S,R,,,R,S,S
485_8338,S,S,,S,R,,,,,
485_15618,S,,,S,S,,,S,S,S
485_13729,S,,,S,R,,,R,S,
485_17451,S,,,S,S,,,S,S,S
485_787,S,S,,S,R,R,,R,S,R
485_8894,S,S,,S,R,,,,,
485_14969,R,,,S,R,,,S,S,S
485_6966,S,S,,S,R,,,,,
485_17574,S,,,S,S,,,S,S,S
485_13594,S,,,S,S,,,S,S,S
485_4462,R,S,,S,S,,,,,
485_13839,R,,,S,S,,,S,S,S
485_17779,,S,,S,R,,R,,,
485_150,S,S,S,S,R,,,,S,R
485_3824,R,S,,S,R,,,,,
485_5555,S,S,,S,S,,,,,
485_3963,S,S,,S,S,,,,,
485_157,R,S,S,S,S,,,,S,R
485_13237,S,,,S,S,,,S,S,S
485_15602,S,,,S,S,,,R,S,S
485_446,S,S,,S,R,,,,,
485_14905,S,,,S,R,,,R,S,S
485_13488,S,,,S,S,,,S,S,S
485_8365,S,S,,S,S,,,,,
485_13529,S,,,S,S,,,S,S,S
485_9321,S,S,,S,S,,,,,
485_13956,S,,,S,S,,,S,S,S
485_9423,S,S,,S,S,,,,,
485_15048,S,,,S,S,,,S,S,S
485_701,S,S,,S,R,S,,R,S,R
485_13549,S,,,S,R,,,S,S,S
485_234,R,S,S,S,S,,,,S,R
485_14785,S,,,S,R,,,R,S,S
485_13487,S,,,S,S,,,S,S,S
485_4103,R,S,,S,R,,,,,
485_847,S,S,,S,R,R,,R,S,R
485_4139,R,S,,S,S,,,,,
485_16860,S,,,S,R,,,R,S,S
485_5325,S,S,,S,S,,,,,
485_9697,S,,,R,R,,,R,S,S
485_13386,S,,,S,R,,,S,S,S
485_5161,S,S,,S,S,,,,,
485_8342,S,S,,S,,,,,,
485_14366,S,,,S,R,,,R,S,S
485_15589,S,,,S,S,,,S,S,S
485_13431,S,,,S,S,,,S,S,S
485_3775,S,S,,S,R,,,,,
485_3678,R,S,,S,S,,,,,
485_13064,R,,,S,S,,,S,S,S
485_9780,S,S,,S,R,,,,S,R
485_4808,S,S,,S,,,,,,
485_4038,S,S,,S,S,,,,,
485_9701,S,,,S,S,,,R,S,S
485_12970,S,,,S,R,,,S,S,
485_17609,S,,,S,S,,,S,S,S
485_9150,S,S,,S,S,,,,,
485_4048,S,S,,R,S,,,,,
485_13367,S,,,S,R,,,R,S,S
485_16928,S,,,S,S,,,S,S,S
485_5039,S,S,,S,R,,,,,
485_13244,S,,,S,S,,,S,S,S
485_14281,S,,,S,S,,,R,S,
485_13736,S,,,S,S,,,S,S,S
485_117,S,S,S,S,R,,,,S,R
485_8883,S,S,,S,R,,,,,
485_9064,S,S,,S,S,,,,,
485_4267,R,S,,S,S,,,,,
485_13298,S,,,S,S,,,R,S,S
485_9402,S,S,,S,R,,,,,
485_13081,S,,,S,S,,,S,S,S
485_7729,S,S,,S,S,,,R,S,S
485_5306,S,S,,S,S,,,,,
485_348,S,S,,S,,,,,,
485_554,R,S,,S,,,,,,
485_14794,S,,,S,S,,,S,S,S
485_4136,S,S,,S,R,,,,,
485_7093,S,,,,R,,,,,
485_13292,S,,,S,S,,,S,S,S
485_8843,S,S,,S,S,,,,,
485_14892,S,,,S,R,,,R,S,S
485_16751,S,,,S,S,,,R,S,S
485_12880,S,,,S,S,,,S,S,S
485_12978,S,,,S,R,,,R,S,S
485_15432,S,S,,S,R,,,,,
485_6841,S,,,,S,,,,,
485_4943,R,,,,R,,,,,
485_17866,,S,,S,R,,R,,,
485_13070,S,,,S,S,,,S,S,S
485_13076,S,,,S,S,,,S,S,S
485_189,S,S,R,S,R,,,,S,R
485_5191,S,S,,S,S,,,,,
485_8713,S,S,,S,S,,,,,
485_4284,R,S,,S,S,,,,,
485_8530,S,S,,S,R,,,,,
485_17876,,S,,S,R,,R,,,
485_5096,S,S,,S,R,,,,,
485_8286,S,S,,S,,,,,,
485_3635,S,S,,S,R,,,,,
485_61,S,S,S,S,S,,,,S,S
485_3768,S,S,,S,S,,,,,
485_166,S,S,S,S,S,,,,S,R
485_255,S,S,S,S,R,,,,S,R
485_14358,S,,,S,S,,,S,S,S
485_13026,S,,,S,R,,,R,S,S
485_4101,R,S,,S,S,,,,,
485_5054,S,S,,S,S,,,,,
485_3675,R,S,,S,R,,,,,
485_13654,S,,,S,S,,,S,S,S
485_13676,S,,,S,S,,,S,S,S
485_9296,S,S,,S,,,,,,
485_17790,,S,,S,R,,R,,,
485_14147,R,,,S,S,,,S,S,S
485_14782,S,,,S,R,,,R,S,S
485_14958,S,,,S,R,,,R,S,S
485_246,S,S,R,S,R,,,,S,R
485_385,R,S,,S,S,,,,,
485_5335,S,S,,S,S,,,,,
485_16485,S,,,S,S,,,S,S,S
485_384,S,S,,S,R,,,,,
485_8937,S,S,,S,R,,,,,
485_7742,S,S,,S,S,,,R,S,S
485_5268,S,S,,S,S,,,,,
485_15001,S,,,S,R,,,S,S,S
485_13495,S,,,S,S,,,S,S,S
485_8688,R,S,,S,,,,,,
485_14771,S,,,S,R,,,R,S,
485_8382,S,S,,S,S,,,,,
485_4824,S,S,,S,,,,,,
485_5224,S,S,,S,S,,,,,
485_4304,R,S,,S,R,,,,,
485_4074,R,S,,S,R,,,,,
485_124,S,S,R,S,R,,,,S,R
485_4367,R,S,,S,S,,,,,
485_17792,,R,,S,R,,R,,,
485_16679,S,,,S,S,,,S,S,S
485_103,S,S,R,S,R,,,,S,R
485_15054,S,,,S,S,,,S,S,S
485_9616,S,S,,,,,,,,
485_9470,S,S,,S,S,,,,,
485_13336,S,,,S,S,,,S,S,S
485_7102,S,,,,S,,,,,
485_275,S,S,S,S,R,,,,S,R
485_14979,S,,,S,R,,,S,S,S
485_861,,S,,S,S,S,,R,S,S
485_8789,S,S,,S,S,,,,,
485_92,S,S,S,S,S,,,,S,R
485_17879,,S,,S,R,,R,,,
485_14759,S,,,S,S,,,R,S,S
485_13827,S,,,S,S,,,S,S,S
485_13060,S,,,S,R,,,S,S,S
485_3865,S,S,,S,R,,,,,
485_4862,R,S,,S,,,,,,
485_5131,S,S,,S,R,,,,,
485_3846,S,S,,S,R,,,,,
485_9705,S,,,S,R,,,R,S,S
485_5217,S,S,,S,R,,,,,
485_13264,S,,,S,S,,,S,S,S
485_13830,R,,,S,R,,,R,S,S
485_5032,S,S,,S,S,,,,,
485_14777,S,,,S,S,,,S,S,S
485_5372,S,S,,S,S,,,,,
485_14467,S,,,S,R,,,R,S,
485_17458,S,,,S,S,,,S,S,S
485_8944,S,S,,S,S,,,,,
485_14040,S,,,S,S,,,S,S,S
485_5094,S,S,,S,S,,,,,
485_15474,S,S,,S,S,,,,,
485_9493,S,S,,S,S,,,,,
485_4268,R,S,,S,R,,,,,
485_5417,S,S,,S,R,,,,,
485_15615,S,,,S,S,,,S,S,S
485_14235,S,,,S,S,,,S,S,S
485_8308,S,S,,S,R,,,,,
485_4396,R,S,,S,S,,,,,
485_406,R,S,,S,S,,,,,
485_16630,S,,,S,R,,,R,S,S
485_14859,S,,,S,R,,,R,S,S
485_8994,S,S,,S,R,,,,,
485_4102,R,S,,S,R,,,,,
485_13169,S,,,S,R,,,R,S,S
485_17676,S,,,S,R,,,R,S,
485_13765,R,,,S,S,,,S,S,S
485_17058,S,,,S,S,,,R,S,S
485_17610,S,,,S,S,,,S,S,S
485_8755,S,S,,S,S,,,,,
485_6770,S,,,,S,,,,,
485_14405,S,,,S,S,,,S,S,S
485_17789,,S,,S,R,,R,,,
485_409,S,S,,S,S,,,,,
485_9395,S,S,,S,S,,,,,
485_860,S,S,,S,S,,,R,S,R
485_5223,S,S,,S,S,,,,,
485_13940,R,,,S,S,,,S,S,S
485_305,R,S,,S,,,,,,
485_9223,S,S,,S,S,,,,,
485_3965,R,S,,S,S,,,,,
485_13953,S,,,S,S,,,S,S,S
485_14368,S,,,S,S,,,S,S,S
485_14417,S,,,S,S,,,S,S,S
485_15013,S,,,S,S,,,S,S,S
485_5266,S,S,,S,R,,,,,
485_113,R,S,S,S,S,,,,S,R
485_8756,S,S,,S,S,,,,,
485_14912,S,,,S,R,,,R,S,S
485_16550,S,,,S,S,,,S,S,S
485_13079,S,,,S,R,,,S,S,S
485_12920,S,,,S,S,,,S,S,S
485_830,S,S,,S,S,S,,R,S,S
485_7914,S,S,,S,S,,,R,S,S
485_14228,S,,,S,S,,,S,S,S
485_8776,S,S,,S,,,,,,
485_13769,S,,,S,S,,,S,S,S
485_16560,S,,,S,S,,,S,S,S
485_14518,S,,,S,R,,,S,S,S
485_8857,S,S,,S,R,,,,,
485_8827,S,S,,S,R,,,,,
485_4198,R,S,,S,S,,,,,
485_13338,S,,,S,R,,,S,S,S
485_14854,S,,,S,S,,,S,S,S
485_5541,S,S,,S,R,,,,,
485_13482,S,,,S,R,,,S,S,S
485_14409,S,,,S,R,,,S,S,S
485_4364,S,S,,S,S,,,,,
485_6884,S,,,,S,,,,,
485_3873,R,S,,S,R,,,,,
485_13153,S,,,S,S,,,S,S,S
485_13426,R,,,S,S,,,S,S,S
485_14410,S,,,S,R,,,R,S,
485_13814,S,,,S,S,,,S,S,S
485_710,R,S,,S,S,R,,,S,R
485_8718,S,S,,S,R,,,,,
485_8796,S,S,,S,R,,,,,
485_14784,S,,,S,R,,,S,S,S
485_8919,S,S,,S,S,,,,,
485_9483,S,S,,S,S,,,,,
485_17784,,S,,S,R,,R,,,
485_15486,S,S,,S,S,,,,,
485_4869,R,S,,S,,,,,,
485_13985,S,,,S,S,,,S,S,S
485_5367,S,S,,S,S,,,,,
485_9680,S,,,S,S,,,R,S,S
485_17468,S,,,S,S,,,S,S,S
485_8773,S,S,,S,,,,,,
485_227,S,S,R,S,R,,,,S,R
485_15542,S,,,S,R,,,S,S,S
485_9118,S,S,,S,S,,,,,
485_14525,S,,,S,R,,,R,S,S
485_4194,R,S,,S,S,,,,,
485_15580,S,,,S,S,,,S,S,S
485_15652,R,,,S,S,,,S,S,S
485_5314,S,S,,S,R,,,,,
485_5341,S,S,,S,S,,,,,
485_16678,S,,,S,S,,,S,S,S
485_8560,S,S,,S,S,,,,,
485_13093,S,,,S,R,,,S,S,S
485_13361,S,,,S,R,,,R,S,
485_771,S,S,,S,S,S,,R,S,R
485_14333,S,,,S,S,,,S,S,S
485_9511,S,S,,S,S,,,,,
485_13235,S,,,S,S,,,R,S,
485_9484,S,S,,S,S,,,,,
485_16460,S,,,S,S,,,S,S,S
485_4481,R,S,,S,S,,,,,
485_4152,S,S,,S,R,,,,,
485_13205,S,,,S,S,,,S,S,S
485_16545,S,,,S,S,,,S,S,S
485_15584,S,,,S,S,,,S,S,S
485_3773,S,S,,S,S,,,,,
485_17639,S,,,S,R,,,R,S,
485_4323,S,S,,S,R,,,,,
485_14137,S,,,S,R,,,R,S,S
485_4143,R,S,,S,R,,,,,
485_13962,S,,,S,S,,,R,S,S
485_159,S,S,S,S,R,,,,S,R
485_4104,S,S,,S,S,,,,,
485_17794,,R,,S,R,,R,,,
485_14823,S,,,S,R,,,R,S,S
485_13904,S,,,S,S,,,S,S,S
485_12917,S,,,S,S,,,R,S,S
485_9504,S,S,,S,R,,,,,
485_13221,S,,,S,S,,,S,S,S
485_14243,S,,,S,S,,,S,S,S
485_16921,S,,,S,S,,,S,S,S
485_12953,S,,,S,R,,,R,S,S
485_13218,S,,,S,S,,,S,S,S
485_6869,S,,,,R,,,,,
485_4343,S,S,,S,R,,,,,
485_6739,S,,,,R,,,,,
485_5533,R,S,,S,S,,,,,
485_13870,S,,,S,S,,,S,S,S
485_9762,R,S,,S,R,,,,S,R
485_14797,S,,,S,S,,,S,S,S
485_17820,,S,,S,R,,R,,,
485_14903,S,,,S,S,,,S,S,S
485_4399,S,S,,S,S,,,,,
485_6853,S,S,,S,R,,,,,
485_147,S,S,R,S,R,,,,S,R
485_4012,R,S,,S,S,,,,,
485_16735,S,,,S,R,,,R,S,
485_221,S,S,S,S,R,,,,S,R
485_410,R,S,,S,,,,,,
485_197,R,S,S,S,S,,,,S,R
485_721,S,,,S,S,S,,S,S,S
485_4272,R,S,,S,R,,,,,
485_9690,S,,,S,S,,,R,S,S
485_13621,S,,,S,S,,,S,S,S
485_17452,S,,,S,S,,,S,S,S
485_13310,S,,,S,R,,,S,S,S
485_7750,S,S,,S,S,,,R,S,R
485_6882,S,,,,S,,,,,
485_4483,S,S,,S,S,,,,,
485_8965,S,S,,S,,,,,,
485_9766,S,S,,S,R,,,,S,R
485_222,S,S,R,S,R,,,,S,R
485_6820,S,,,,R,,,,,
485_13637,R,,,S,S,,,S,S,S
485_5300,S,S,,S,S,,,,,
485_9148,S,S,,S,S,,,,,
485_3869,S,S,,S,S,,,,,
485_8260,S,S,,S,S,,,,,
485_14233,S,,,S,S,,,S,S,S
485_16955,S,,,S,S,,,S,S,S
485_13030,S,,,S,S,,,S,S,S
485_9253,S,S,,S,S,,,,,
485_5006,S,S,,S,R,,,,,
485_8393,S,S,,S,,,,,,
485_9143,S,S,,S,,,,,,
485_13159,S,,,S,S,,,S,S,S
485_9589,S,S,,S,,,,,,
485_17467,S,,,S,S,,,S,S,S
485_15409,S,S,,S,R,,,,,
485_9627,,S,,S,,,,,,
485_8313,S,S,,S,S,,,,,
485_3742,S,S,,S,S,,,,,
485_3906,R,S,,S,R,,,,,
485_4322,S,S,,S,R,,,,,
485_14182,S,,,S,S,,,S,S,S
485_139,R,S,S,S,S,,,,S,R
485_215,S,S,S,S,R,,,,S,R
485_14260,S,,,S,S,,,R,S,S
485_9661,S,,,S,S,,,R,S,S
485_14999,S,,,S,S,,,S,S,S
485_9756,S,S,,S,R,,,,S,R
485_3641,R,S,,S,R,,,,,
485_14478,S,,,S,R,,,R,S,S
485_17502,S,,,S,R,,,R,S,
485_5348,S,S,,S,S,,,,,
485_6794,S,S,,S,S,,,,,
485_8345,S,S,,S,R,,,,,
485_17904,R,,,S,,,,,,
485_14290,S,,,S,S,,,S,S,S
485_13111,R,,,S,S,,,S,S,S
485_194,S,S,R,S,R,,,,S,R
485_5074,S,S,,S,S,,,,,
485_8936,S,S,,S,R,,,,,
485_13821,S,,,S,S,,,S,S,S
485_14357,S,,,S,S,,,S,S,S
485_9067,S,S,,S,S,,,,,
485_8270,S,S,,S,S,,,,,
485_8783,S,S,,S,R,,,,,
485_5263,S,S,,S,R,,,,,
485_14134,S,,,S,S,,,S,S,S
485_173,S,R,R,S,R,,,,S,R
485_14029,S,,,S,R,,,S,S,
485_13486,S,,,S,S,,,S,S,S
485_13995,S,,,S,S,,,S,S,S
485_105,S,S,S,S,R,,,,S,R
485_4098,S,S,,S,R,,,,,
485_4107,S,S,,S,R,,,,,
485_14523,S,,,S,S,,,S,S,S
485_8278,S,S,,S,,,,,,
485_16566,S,,,S,S,,,S,S,S
485_9725,S,,,S,R,,,R,S,
485_67,R,S,S,S,S,,,,S,R
485_9738,S,S,,S,R,,,,S,
485_9427,S,S,,S,R,,,,,
485_17521,S,,,S,S,,,S,S,S
485_13735,S,,,S,S,,,S,S,S
485_9673,S,,,S,S,,,R,S,S
485_5442,S,S,,S,S,,,,,
485_16693,S,,,S,S,,,R,S,S
485_5072,S,S,,S,S,,,,,
485_5399,S,S,,S,S,,,,,
485_15436,S,S,,S,R,,,,,
485_12925,S,,,S,R,,,R,S,S
485_5010,S,S,,S,R,,,,,
485_13293,S,,,S,R,,,R,S,S
485_14362,S,,,S,S,,,S,S,S
485_9121,S,S,,S,S,,,,,
485_8633,S,S,,S,S,,,,,
485_5155,S,S,,S,S,,,,,
485_4875,R,S,,S,R,,,,,
485_17585,S,,,S,S,,,S,S,S
485_5621,S,S,,S,R,,,,,
485_4206,R,S,,S,S,,,,,
485_14992,S,,,S,S,,,S,S,S
485_7001,S,,,,S,,,,,
485_9344,S,S,,S,S,,,,,
485_17678,S,,,S,S,,,S,S,S
485_4795,R,S,,S,R,,,,,
485_3857,R,S,,S,R,,,,,
485_9737,S,S,,S,R,,,,S,R
485_15646,S,,,S,R,,,R,S,S
485_7107,S,,,,R,,,,,
485_14245,S,,,S,S,,,S,S,S
485_4245,R,S,,S,R,,,,,
485_4906,R,,,,R,,,,,
485_9671,S,,,S,S,,,R,S,S
485_8998,S,S,,S,R,,,,,
485_14325,S,,,S,S,,,S,S,S
485_13161,S,,,S,R,,,R,S,S
485_17636,S,,,S,S,,,S,S,S
485_313,R,S,,S,,,,,,
485_14365,R,,,S,S,,,S,S,S
485_269,S,S,S,S,S,,,,S,S
485_769,S,S,,S,S,S,,R,S,R
485_15564,S,,,S,S,,,S,S,S
485_5323,S,S,,S,S,,,,,
485_9356,S,S,,S,,,,,,
485_8452,S,S,,S,S,,,,,
485_12884,S,,,S,S,,,S,S,S
485_15487,S,S,,S,S,,,,,
485_14868,S,,,S,R,,,R,S,S
485_14194,S,,,S,R,,,S,S,S
485_13813,S,,,S,S,,,S,S,S
485_5595,S,S,,S,S,,,,,
485_17541,S,,,S,S,,,S,S,S
485_13294,S,,,S,R,,,S,S,S
485_702,S,S,,S,S,S,,S,S,R
485_500,R,S,,S,,,,,,
485_13080,S,,,S,S,,,S,S,S
485_5499,R,S,,S,S,,,,,
485_17756,,R,,S,R,,R,,,
485_14073,S,,,S,S,,,S,S,S
485_4079,R,S,,S,R,,,,,
485_9633,,S,,S,,,,,,
485_17777,,R,,S,R,,R,,,
485_14865,S,,,S,S,,,S,S,S
485_13933,S,,,S,S,,,S,S,S
485_4311,R,S,,S,R,,,,,
485_13074,S,,,S,S,,,S,S,S
485_747,S,S,,S,R,R,,R,S,R
485_4974,S,S,,S,S,,,,,
485_17882,,R,,S,R,,R,,,
485_12931,S,,,S,R,,,S,S,S
485_14275,S,,,S,S,,,S,S,S
485_94,S,S,R,S,R,,,,S,R
485_64,S,S,S,S,S,,,,S,R
485_168,S,S,S,S,R,,,,S,R
485_4814,S,S,,S,R,,,,,
485_8320,S,S,,S,R,,,,,
485_82,R,S,S,S,S,,,,S,R
485_14055,S,,,S,S,,,S,S,
485_4988,S,S,,S,S,,,,,
485_17577,S,,,S,S,,,S,S,S
485_5208,S,S,,S,S,,,,,
485_9655,S,,,S,S,,,R,S,S
485_8539,S,S,,S,S,,,,,
485_5159,R,S,,S,R,,,,,
485_4488,S,S,,S,S,,,,,
485_13097,S,,,S,R,,,R,S,S
485_4351,S,S,,S,S,,,,,
485_17684,S,,,S,S,,,S,S,S
485_4401,R,S,,S,S,,,,,
485_16426,S,,,S,R,,,R,S,S
485_17482,S,,,S,S,,,S,S,S
485_17538,S,,,S,S,,,S,S,S
485_741,S,S,,S,R,R,,R,S,R
485_17595,S,,,S,S,,,S,S,S
485_14906,S,,,S,R,,,R,S,S
