,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_10837,,S,,R,,,,,,,,
1313_34188,,,,S,,,S,,S,R,,S
1313_26765,,,,S,,,S,,S,S,,S
1313_30555,,,,,,,R,,S,,,
1313_12849,,S,,R,,,,,,,,
1313_23886,,,,R,,,S,,,S,,R
1313_33349,,,,R,,,R,,R,S,,R
1313_21755,,,,R,,,S,,R,,,S
1313_12314,,S,,S,,,,,,,,
1313_10064,,S,,R,,,,,,,,
1313_26933,,,,R,,,S,,R,S,,S
1313_20336,,,,R,,,S,,R,S,,R
1313_27201,,,,S,,,S,,S,S,,S
1313_23634,,,,R,,,R,,R,S,,R
1313_29824,,,,S,,,S,,S,,,S
1313_31800,,,,R,,,R,,S,S,,S
1313_11998,,S,,R,,,,,,,,
1313_30767,,,,R,,,S,,R,S,,S
1313_24701,,,,,,,S,,R,S,,R
1313_33769,,,,S,,,S,,S,S,,R
1313_46799,,S,S,S,,S,S,,,S,,S
1313_10974,,S,,R,,,,,,,,
1313_31954,,,,S,,,S,,S,S,,S
1313_41997,S,S,,S,,S,S,,S,,,S
1313_31183,,,,S,,,S,,R,S,,R
1313_23594,,,,R,,,R,,S,S,,S
1313_47170,,S,S,S,,S,S,,,S,,S
1313_22665,,,,S,,,R,,S,S,,R
1313_17029,S,S,,S,,S,S,,,,,S
1313_17099,S,S,,S,,S,S,,,,,S
1313_12538,,S,,R,,,,,,,,
1313_31204,,,,R,,,R,,,S,,R
1313_30780,,,,R,,,R,,S,R,,R
1313_47237,,S,S,R,,S,S,,,S,,S
1313_12374,,S,,R,,,,,,,,
1313_11524,,S,,R,,,,,,,,
1313_13017,,S,,R,,,,,,,,
1313_6001,,S,,,,,,,,S,,R
1313_47262,,S,S,S,,S,S,,,S,,S
1313_32205,,,,R,,,R,,R,R,,R
1313_12032,,R,,R,,,,,,,,
1313_34301,,,,,,,,,S,S,,
1313_25337,,,,S,,,S,,S,S,,S
1313_24429,,,,,,,R,,S,,,
760788_3,R,R,S,S,S,S,R,,R,S,,S
1313_31772,,,,S,,,S,,S,S,,S
1313_31811,,,,,,,R,,S,,,S
1313_25118,,,,R,,,R,,S,,,R
1313_12944,,S,,R,,,,,,,,
1313_32522,,,,R,,,R,,S,S,,S
1313_33630,,,,R,,,S,,S,S,,S
1313_23411,,,,S,,,S,,S,S,,S
1313_21781,,,,S,,,S,,S,,,S
1313_23164,,,,,,,S,,S,,,
1313_30747,,,,R,,,S,,R,S,,S
1313_17056,S,S,,S,,S,R,,,,,S
1313_27937,,,,S,,,S,,S,S,,S
760825_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_46650,,S,S,S,,S,S,,,S,,S
1313_31931,,,,S,,,S,,S,S,,S
1313_26789,,,,S,,,S,,S,S,,S
1313_12892,,S,,R,,,,,,,,
1313_31197,,,,R,,,R,,R,S,,R
1313_20597,,,,R,,,S,,,S,,R
1313_32937,,,,,,,S,,S,,,R
1313_20650,,,,R,,,S,,,S,,S
1313_23525,,,,R,,,S,,S,S,,S
1313_32858,,,,S,,,S,,S,S,,R
1313_29806,,,,S,,,S,,S,,,S
1313_26399,,,,R,,,,,R,,,
1313_23652,,,,R,,,S,,R,S,,S
1313_29893,,,,S,,,S,,S,S,,S
1313_33481,,,,S,,,R,,S,S,,S
1313_30894,,,,S,,,R,,R,S,,R
1313_25838,,,,S,,,R,,S,S,,S
1313_24579,,,,R,,,R,,R,S,,R
1313_24337,,,,R,,,R,,R,S,,R
1313_27990,,,,,,,,,S,S,,
1313_20509,,,,S,,,R,,,S,,S
1313_25404,,,,R,,,R,,S,S,,S
1313_34124,,,,R,,,S,,S,S,,S
1313_24683,,,,,,,S,,,S,,R
1313_31714,,,,R,,,S,,R,S,,S
1313_27415,,,,R,,,S,,S,S,,S
1313_46698,,R,S,S,,S,R,,,S,,S
1313_31898,,,,R,,,R,,R,S,,S
1313_6156,,R,,,,,,,,S,,R
1313_8723,,,,S,,,S,,S,S,,R
1313_20076,,,,S,,,S,,R,S,,S
1313_26676,,,,S,,,S,,S,S,,R
1313_9235,,,,S,,,S,,S,S,,R
1313_25874,,,,S,,,,,,,,
1313_22961,,,,,,,S,,R,S,,R
1313_10080,,S,,S,,,,,,,,
1313_46769,,S,S,S,,R,R,,,S,,R
1313_33459,,,,R,,,S,,R,S,,S
1313_31464,,,,R,,,S,,,S,,R
1313_8728,,,,R,,,R,,R,S,,R
1313_32315,,,,S,,,,,,,,
1313_26762,,,,S,,,S,,S,S,,S
1313_30123,,,,,,,S,,S,,,R
1313_27957,,,,R,,,R,,S,S,,S
1313_30710,,,,S,,,S,,S,S,,S
1313_29839,,,,R,,,S,,S,,,R
1313_10774,,S,,R,,,,,,,,
1313_28010,,,,R,,,S,,S,R,,R
1313_22853,,,,R,,,S,,S,S,,S
1313_31178,,,,R,,,S,,S,S,,R
1313_12909,,S,,R,,,,,,,,
1313_29758,,,,R,,,S,,S,,,S
1313_22529,,,,R,,,S,,S,S,,S
1313_26659,,,,R,,,R,,R,S,,R
1313_31096,,,,S,,,S,,,S,,R
1313_24396,,,,S,,,S,,S,S,,S
1313_30467,,,,,,,S,,S,R,,R
1313_22086,,,,R,,,S,,S,,,S
1313_33421,,,,R,,,S,,R,S,,S
1313_25029,,,,R,,,,,S,,,
1313_30706,,,,R,,,S,,R,S,,S
1313_30666,,,,R,,,R,,,S,,
1313_24800,,,,,,,R,,R,S,,R
1313_20024,,,,R,,,S,,,S,,S
1313_12458,,S,,S,,,,,,,,
1313_26471,,,,R,,,S,,R,S,,R
1313_20675,,,,R,,,S,,R,S,,S
1313_12260,,S,,S,,,,,,,,
1313_26629,,,,S,,,S,,S,S,,R
1313_12379,,S,,R,,,,,,,,
1313_6121,,,,,,,R,,,R,,R
1313_32825,,,,S,,,S,,S,S,,S
1313_27271,,,,S,,,S,,S,S,,S
1313_25810,,,,S,,,R,,S,S,,S
1313_9137,,,,S,,,S,,S,S,,S
1313_10838,,S,,S,,,,,,,,
1313_12552,,S,,R,,,,,,,,
1313_26642,,,,R,,,S,,S,S,,R
1313_27227,,,,R,,,S,,S,S,,S
1313_9229,,,,S,,,S,,S,S,,R
1313_23402,,,,R,,,R,,S,R,,R
1313_32167,,,,R,,,R,,R,R,,R
1313_26884,,,,R,,,S,,S,S,,S
1313_6959,,,,,,,,S,,,S,
1313_46637,,S,S,S,,S,S,,,S,,S
1313_23528,,,,S,,,S,,S,S,,S
1313_32332,,,,S,,,,,,,,
1313_32358,,,,R,,,,,,R,,R
1313_31689,,,,,,,S,,,S,,R
1313_26532,,,,S,,,,,,,,
1313_31806,,,,,,,S,,R,,,S
1313_20503,,,,R,,,S,,,S,,S
1313_34055,,,,,,,S,,,S,,R
1313_27013,,,,R,,,S,,R,S,,R
1313_8744,,,,S,,,S,,S,S,,S
1313_30583,,,,,,,S,,S,,,
1313_24859,,,,S,,,S,,S,S,,R
1313_11420,,S,,S,,,,,,,,
1313_23427,,,,S,,,R,,S,S,,R
1313_30888,,,,S,,,S,,S,S,,S
1313_30397,,,,R,,,S,,S,S,,S
1313_26039,,,,R,,,S,,S,S,,R
1313_24498,,,,S,,,S,,S,S,,S
1313_26645,,,,R,,,R,,R,S,,R
1313_17070,S,S,,S,,S,S,,,,,S
1313_34204,,,,S,,,R,,S,R,,S
1313_23663,,,,S,,,S,,,S,,S
1313_30795,,,,R,,,S,,S,S,,S
1313_12719,,S,,R,,,,,,,,
1313_6347,,S,,,,,S,,,,,
1313_17423,S,S,,S,,S,S,,S,,,S
1313_22055,,,,R,,,S,,R,,,S
1313_11273,,S,,R,,,,,,,,
1313_32526,,,,S,,,S,,S,S,,S
1313_25176,,,,R,,,,,R,,,
1313_32373,,,,,,,R,,R,S,,R
1313_5859,,S,,,,,S,,,S,,S
1313_32934,,,,,,,S,,S,,,R
1313_47265,,S,S,S,,R,R,,,S,,R
1313_34135,,,,R,,,R,,R,R,,R
1313_31601,,,,,,,R,,S,,,
1313_47267,,S,S,R,,S,S,,,S,,R
1313_26806,,,,S,,,S,,S,S,,R
1313_23778,,,,R,,,S,,,S,,R
1313_12496,,S,,S,,,,,,,,
1313_26945,,,,R,,,S,,S,S,,S
1313_34133,,,,R,,,R,,S,S,,R
1313_25792,,,,S,,,S,,S,S,,S
1313_23420,,,,R,,,S,,S,S,,S
1313_29836,,,,S,,,S,,S,,,S
1313_33113,,,,R,,,R,,R,S,,R
1313_10098,,S,,R,,,,,,,,
1313_12574,,S,,S,,,,,,,,
1313_46977,,S,S,R,,S,S,,,S,,S
1313_47106,,R,S,S,,S,R,,,S,,S
1313_23458,,,,R,,,S,,S,S,,S
1313_13016,,S,,R,,,,,,,,
1313_23713,,,,,,,R,,S,S,,R
1313_22122,,,,R,,,S,,S,,,S
1313_33887,,,,S,,,S,,S,S,,S
1313_6514,,S,,,,,S,,,S,,S
1313_32707,,,,R,,,S,,S,S,,S
1313_10456,,S,,R,,,,,,,,
1313_46528,,S,S,S,,S,S,,,S,,S
1313_25384,,,,R,,,R,,R,S,,S
1313_24571,,,,S,,,S,,S,S,,S
1313_33091,,,,R,,,R,,S,S,,R
1313_23034,,,,,,,S,,S,S,,R
1313_27400,,,,R,,,S,,R,S,,S
1313_46693,,S,S,S,,R,R,,,S,,R
1313_46694,,S,S,S,,R,R,,,S,,R
760760_3,S,S,S,S,S,S,S,,S,S,S,S
1313_26968,,,,R,,,S,,S,S,,S
1313_26156,,,,R,,,S,,R,S,,R
1313_8920,,,,S,,,S,,S,S,,R
1313_20065,,,,S,,,S,,,S,,S
1313_26493,,,,R,,,,,S,,,
1313_30099,,,,S,,,S,,S,S,,R
1313_27987,,,,S,,,S,,S,R,,R
1313_46758,,S,S,R,,S,R,,,S,,R
1313_10648,,S,,S,,,,,,,,
1313_11405,,S,,S,,,,,,,,
1313_12464,,S,,R,,,,,,,,
1313_12491,,S,,R,,,,,,,,
1313_12337,,S,,R,,,,,,,,
1313_24292,,,,,,,S,,S,S,,R
1313_26146,,,,R,,,S,,S,S,,R
1313_20258,,,,S,,,R,,,S,,R
1313_34223,,,,S,,,R,,S,S,,S
1313_47218,,S,S,R,,R,R,,,S,,R
1313_32396,,,,R,,,R,,S,,,R
1313_23550,,,,S,,,S,,S,S,,S
1313_9276,,,,R,,,R,,R,S,,R
1313_34163,,,,S,,,S,,S,S,,S
1313_26491,,,,R,,,S,,R,S,,R
1313_30489,,,,,,,R,,S,,,
1313_20492,,,,R,,,S,,R,S,,S
1313_32035,,,,R,,,S,,S,S,,S
1313_28006,,,,R,,,S,,S,R,,R
1313_12497,,S,,S,,,,,,,,
1313_24011,,,,R,,,S,,,R,,R
1313_26547,,,,R,,,S,,S,S,,R
1313_25871,,,,R,,,R,,S,,,R
1313_20052,,,,S,,,S,,,S,,S
1313_31771,,,,R,,,S,,S,S,,S
1313_32410,,,,R,,,S,,R,,,R
1313_30808,,,,R,,,S,,R,S,,S
1069624_3,R,R,,R,S,S,R,,R,S,S,S
1313_24785,,,,,,,S,,S,S,,R
1313_24324,,,,R,,,R,,R,S,,R
1313_25101,,,,R,,,,,S,,,
1313_21772,,,,R,,,R,,R,,,R
1313_17444,S,S,,S,,S,S,,S,,,S
1313_31967,,,,R,,,R,,R,S,,S
1313_27110,,,,R,,,S,,R,S,,R
1313_34199,,,,S,,,S,,S,R,,S
1313_30437,,,,,,,S,,,S,,R
1313_31249,,,,R,,,S,,S,S,,R
1313_31208,,,,S,,,S,,S,S,,S
1313_25808,,,,S,,,S,,S,S,,S
1313_31734,,,,S,,,S,,S,S,,S
1313_10402,,S,,S,,,,,,,,
1313_23513,,,,S,,,S,,S,S,,S
1313_25819,,,,R,,,R,,R,S,,R
1313_26777,,,,S,,,S,,S,S,,S
1313_12808,,S,,S,,,,,,,,
1313_31456,,,,R,,,S,,S,S,,R
1313_26804,,,,S,,,S,,S,S,,S
1313_47239,,S,S,R,,S,R,,,S,,S
1313_20421,,,,S,,,S,,R,S,,S
1313_31936,,,,R,,,S,,S,S,,S
1313_23514,,,,S,,,R,,S,S,,R
1313_31992,,,,R,,,S,,R,S,,S
1313_11436,,R,,R,,,,,,,,
1313_26902,,,,R,,,S,,R,S,,S
1313_31737,,,,S,,,S,,S,S,,S
1313_11840,,S,,R,,,,,,,,
1313_11891,,S,,R,,,,,,,,
1313_25533,,,,R,,,S,,R,S,,R
1313_46545,,R,S,R,,R,R,,,S,,R
1313_33828,,,,R,,,S,,S,S,,S
1313_9190,,,,R,,,S,,R,S,,R
1313_30682,,,,R,,,R,,,S,,
1313_31291,,,,R,,,R,,R,S,,R
1313_31226,,,,R,,,S,,R,S,,R
1313_22110,,,,R,,,S,,S,,,S
1313_33028,,,,S,,,,,,,,
1313_17327,S,S,,S,,S,S,,S,,,S
1313_34203,,,,S,,,S,,S,R,,S
1313_12546,,S,,R,,,,,,,,
1313_11209,,S,,R,,,,,,,,
1313_26889,,,,R,,,S,,S,S,,S
1313_12457,,S,,R,,,,,,,,
1313_30982,,,,S,,,S,,S,S,,R
1313_12040,,S,,R,,,,,,,,
1313_33263,,,,S,,,,,,,,
1313_47246,,S,S,S,,S,S,,,S,,S
1313_11491,,S,,R,,,,,,,,
1313_20082,,,,R,,,S,,S,S,,R
1313_23529,,,,R,,,R,,R,S,,R
1313_12273,,S,,R,,,,,,,,
1313_30768,,,,R,,,S,,R,S,,S
1313_32352,,,,R,,,S,,R,,,R
1313_33267,,,,S,,,S,,S,S,,R
1313_22043,,,,R,,,S,,S,,,S
1313_32644,,,,R,,,R,,R,S,,R
1313_17109,S,S,,S,,S,S,,,,,S
1313_24920,,,,R,,,S,,S,S,,R
1313_33801,,,,S,,,S,,S,S,,R
1313_6963,,,,,,,,S,,,S,
1313_30378,,,,,,,S,,R,S,,R
1313_12893,,S,,R,,,,,,,,
1313_47070,,S,S,S,,S,S,,,S,,S
1313_32497,,,,S,,,S,,S,S,,R
1313_24991,,,,S,,,,,R,,,
1313_32685,,,,R,,,,,S,,,
1313_30997,,,,R,,,S,,,S,,S
1313_22677,,,,,,,S,,S,,,
1313_23866,,,,R,,,S,,,S,,S
1313_46629,,S,S,S,,S,S,,,S,,S
1313_26535,,,,S,,,S,,S,S,,R
1313_26800,,,,S,,,R,,S,S,,S
1313_10830,,S,,R,,,,,,,,
1313_26918,,,,R,,,S,,S,S,,S
1313_23535,,,,S,,,S,,S,S,,R
1313_32627,,,,R,,,R,,S,S,,R
1313_32964,,,,,,,S,,S,,,
1313_11675,,S,,S,,,,,,,,
1313_28032,,,,,,,R,,S,R,,
1313_46732,,S,S,S,,S,S,,,S,,S
1313_30193,,,,,,,S,,S,,,
1313_11993,,S,,R,,,,,,,,
1313_32901,,,,,,,S,,S,,,R
1313_6390,,R,,,,,,,,S,,R
1313_46686,,R,S,R,,R,R,,,S,,R
1313_26131,,,,R,,,R,,R,S,,R
1313_33969,,,,S,,,S,,S,S,,S
1313_27359,,,,R,,,S,,S,S,,S
1313_26672,,,,S,,,S,,S,S,,R
1313_26613,,,,S,,,S,,S,S,,R
1313_33118,,,,S,,,S,,S,S,,R
1313_32226,,,,R,,,S,,S,S,,R
1313_7020,S,S,S,R,S,S,S,S,S,S,,
1313_23130,,,,,,,S,,S,S,,S
1313_24365,,,,S,,,S,,S,S,,S
1313_24147,,,,,,,R,,S,,,
1313_21023,,,,R,,,S,,,S,,R
1313_6579,,S,,,,,S,,,,,
1313_11424,,S,,R,,,,,,,,
1313_26791,,,,S,,,S,,S,S,,S
1313_24820,,,,R,,,R,,R,S,,R
1313_25592,,,,S,,,,,,,,
1313_25547,,,,S,,,,,,,,
1313_10226,,S,,R,,,,,,,,
1313_6283,,S,,,,,S,,,,,S
1313_33724,,,,S,,,S,,S,S,,R
1313_20465,,,,S,,,S,,,S,,S
1313_22984,,,,,,,S,,S,S,,R
1313_33071,,,,R,,,R,,S,,,R
1313_30203,,,,,,,R,,S,,,
1313_11872,,S,,R,,,,,,,,
1313_32648,,,,R,,,S,,R,,,R
1313_11302,,S,,S,,,,,,,,
1313_34323,,,,R,,,R,,R,S,,R
1313_32015,,,,S,,,S,,S,S,,S
1313_12939,,R,,R,,,,,,,,
1313_23523,,,,S,,,R,,S,S,,R
1313_23183,,,,,,,S,,S,,,
1313_33818,,,,R,,,S,,S,S,,S
1313_33559,,,,R,,,S,,S,S,,S
1313_23567,,,,S,,,S,,R,S,,S
1313_12218,,S,,S,,,,,,,,
1313_30891,,,,S,,,S,,S,S,,S
1313_24649,,,,S,,,S,,S,S,,R
1313_27146,,,,S,,,S,,S,S,,R
1313_22033,,,,R,,,S,,S,,,S
1313_41994,S,S,,S,,S,S,,S,,,S
1313_33390,,,,S,,,S,,S,S,,S
1313_32102,,,,,,,S,,R,S,,R
1313_30194,,,,,,,S,,S,,,
1313_11089,,S,,R,,,,,,,,
1313_11134,,S,,R,,,,,,,,
1313_11648,,R,,R,,,,,,,,
1313_23512,,,,S,,,S,,S,S,,S
1313_30761,,,,R,,,S,,R,S,,S
1313_22668,,,,R,,,S,,S,S,,S
1313_23536,,,,S,,,S,,S,S,,R
1313_26042,,,,R,,,,,R,,,
1313_23642,,,,S,,,R,,R,,,R
1313_31630,,,,,,,S,,,S,,R
1313_23751,,,,S,,,S,,,S,,R
1313_26043,,,,R,,,,,S,,,
1313_24758,,,,,,,S,,S,S,,S
1313_17394,S,S,,S,,S,S,,S,,,S
1313_33737,,,,S,,,S,,S,S,,R
1313_10055,,S,,S,,,,,,,,
1313_26490,,,,R,,,S,,S,S,,R
1313_47121,,S,S,S,,S,S,,,S,,S
1313_23022,,,,,,,S,,S,S,,R
1313_32024,,,,S,,,S,,S,S,,S
1313_23149,,,,,,,S,,S,,,
1313_27052,,,,R,,,S,,R,S,,R
1313_27917,,,,R,,,S,,S,S,,S
1131630_3,S,S,S,S,S,S,R,S,R,S,S,S
1313_23780,,,,S,,,S,,S,S,,S
1313_8982,,,,R,,,R,,R,S,,R
1313_30572,,,,,,,R,,R,,,
1313_25499,,,,R,,,S,,R,,,R
1313_6187,,S,,,,,S,,,S,,S
1313_33645,,,,R,,,S,,R,R,,R
1313_25722,,,,R,,,S,,S,S,,R
1313_11690,,S,,R,,,,,,,,
1313_11520,,S,,R,,,,,,,,
1313_32946,,,,,,,S,,S,,,R
1313_25399,,,,S,,,S,,S,S,,S
1313_46741,,R,S,S,,S,R,,,S,,S
1313_34127,,,,R,,,R,,S,S,,S
1313_33369,,,,R,,,S,,R,S,,R
1313_20002,,,,,,,S,,R,,,
1313_21481,,,,S,,,R,,R,,,R
1313_23055,,,,R,,,R,,R,S,,R
1313_26874,,,,R,,,R,,R,S,,S
1313_25845,,,,S,,,,,,,,
1313_32788,,,,S,,,R,,S,R,,R
1313_24372,,,,R,,,R,,S,S,,S
1313_33783,,,,S,,,S,,S,S,,R
1313_6059,,,,,,,R,,R,S,,R
1313_20143,,,,,,,R,,S,,,
1313_26053,,,,S,,,,,,,,
760806_3,S,S,S,S,S,R,R,S,S,R,S,R
1313_8981,,,,S,,,S,,S,R,,S
1313_17391,S,S,,S,,S,S,,S,,,S
1313_24967,,,,,,,S,,,R,,R
1313_20786,,,,S,,,S,,,S,,S
1313_20003,,,,,,,R,,S,,,
1313_32806,,,,S,,,R,,S,S,,R
1313_32209,,,,S,,,S,,S,S,,R
1313_11485,,S,,R,,,,,,,,
1313_26660,,,,R,,,S,,S,S,,R
1313_31785,,,,S,,,S,,S,S,,S
1313_30601,,,,,,,R,,S,,,
1313_26519,,,,R,,,S,,S,S,,R
1313_30380,,,,,,,S,,R,S,,R
760747_3,S,S,S,R,S,S,S,,S,S,S,S
1313_29961,,,,R,,,S,,S,S,,S
1313_32236,,,,S,,,R,,S,S,,R
1313_24084,,,,R,,,S,,S,S,,S
1313_12754,,S,,R,,,,,,,,
1313_31901,,,,R,,,R,,S,S,,S
1313_24015,,,,R,,,S,,S,S,,S
1313_25803,,,,S,,,S,,S,S,,S
1313_10790,,S,,S,,,,,,,,
1313_25805,,,,S,,,S,,S,S,,S
1313_12059,,S,,R,,,,,,,,
1313_10235,,S,,R,,,,,,,,
1313_23206,,,,,,,R,,S,,,
1313_25797,,,,S,,,S,,S,S,,S
1313_46740,,S,S,R,,S,R,,,S,,S
1313_24045,,,,S,,,S,,R,S,,R
1313_32431,,,,S,,,S,,S,S,,R
1313_24474,,,,,,,R,,S,,,R
1313_31229,,,,R,,,R,,R,S,,R
1313_10157,,S,,R,,,,,,,,
1313_10642,,S,,R,,,,,,,,
1313_10426,,S,,R,,,,,,,,
1313_30097,,,,S,,,S,,S,S,,R
1313_12713,,S,,R,,,,,,,,
1313_26655,,,,R,,,R,,S,S,,R
1313_46585,,R,S,S,,S,R,,,S,,S
1313_17328,S,S,,S,,S,S,,S,,,S
1313_10871,,S,,R,,,,,,,,
1313_20971,,,,S,,,S,,,S,,S
1313_31598,,,,,,,R,,S,,,
1313_12080,,S,,R,,,,,,,,
1313_33314,,,,R,,,,,S,,,R
1313_26686,,,,R,,,R,,R,S,,R
1313_21776,,,,R,,,S,,S,,,R
1313_47027,,S,S,S,,R,R,,,S,,R
1313_23429,,,,S,,,R,,S,S,,R
1313_21824,,,,R,,,R,,R,,,R
1313_21017,,,,S,,,S,,,S,,S
1313_12530,,S,,R,,,,,,,,
1313_26808,,,,R,,,R,,S,S,,S
1313_22747,,,,,,,R,,S,,,
1313_26926,,,,R,,,S,,S,S,,S
1313_23445,,,,S,,,S,,S,S,,S
1313_8925,,,,R,,,R,,R,S,,R
1313_27938,,,,S,,,S,,S,R,,S
1313_24476,,,,S,,,S,,S,S,,S
1313_27120,,,,S,,,S,,S,S,,R
1313_31606,,,,,,,R,,S,,,
1313_33494,,,,S,,,S,,S,S,,S
1313_24036,,,,R,,,S,,,S,,R
1313_33453,,,,S,,,S,,S,S,,S
1313_29739,,,,R,,,R,,R,,,S
1313_5608,,R,,,,,R,,,S,,R
1313_20457,,,,S,,,S,,,S,,S
1313_21029,,,,S,,,S,,R,S,,S
1313_33420,,,,S,,,S,,S,S,,S
1313_30687,,,,R,,,S,,,S,,
1313_24587,,,,R,,,S,,R,S,,R
1313_26779,,,,S,,,S,,S,S,,S
1313_25599,,,,R,,,R,,R,,,R
1313_31791,,,,R,,,R,,R,S,,S
760743_3,,S,,S,S,,R,,S,S,,S
1313_23541,,,,R,,,S,,S,S,,S
1313_25308,,,,R,,,S,,S,S,,S
1313_46625,,S,S,S,,S,S,,,S,,S
1313_33269,,,,S,,,S,,S,S,,R
1313_26679,,,,S,,,S,,S,S,,R
1313_10416,,S,,R,,,,,,,,
1313_26632,,,,S,,,S,,S,S,,R
1313_23327,,,,R,,,S,,,S,,
1313_24841,,,,S,,,S,,S,S,,R
1313_24025,,,,R,,,S,,,S,,S
1313_5695,,,,,,,R,,,R,,R
1313_12416,,S,,R,,,,,,,,
1313_20982,,,,R,,,S,,,S,,S
1313_25305,,,,S,,,S,,S,S,,S
1313_34372,,,,,,,R,,S,R,,
1313_34356,,,,,,,R,,S,R,,
1313_30716,,,,R,,,R,,S,S,,R
1313_32687,,,,,,,S,,S,S,,S
1313_23707,,,,S,,,R,,S,S,,R
1313_27927,,,,S,,,S,,S,S,,S
1313_24605,,,,R,,,S,,S,S,,R
1313_27270,,,,R,,,S,,S,R,,R
1313_27921,,,,R,,,R,,R,S,,S
1313_12553,,S,,R,,,,,,,,
1313_32262,,,,R,,,S,,R,,,R
1313_13866,,S,,,,,,,S,,,
1313_33086,,,,S,,,,,,,,
1313_25256,,,,,,,R,,R,S,,S
1313_25370,,,,S,,,S,,S,S,,S
1313_34360,,,,,,,R,,S,S,,
1313_30915,,,,S,,,S,,S,S,,S
1313_23030,,,,,,,R,,R,S,,R
1313_47179,,S,S,S,,S,S,,,S,,S
1313_8628,,,,S,,,R,,R,R,,R
1313_26912,,,,R,,,S,,S,S,,S
760855_3,R,R,S,R,S,S,R,S,R,S,S,R
1313_12435,,S,,R,,,,,,,,
1313_30181,,,,,,,R,,S,,,
1313_25151,,,,,,,R,,R,S,,R
1313_30340,,,,,,,R,,R,R,,R
1313_22737,,,,,,,R,,S,,,
1313_31126,,,,R,,,S,,,S,,R
1313_29830,,,,S,,,S,,S,,,S
1313_20232,,,,S,,,S,,,S,,S
1313_33721,,,,S,,,,,,,,
1313_17425,,,,S,,S,S,,S,,,S
1313_26418,,,,R,,,R,,,,,R
1313_27944,,,,S,,,R,,S,S,,S
1313_22237,,,,R,,,R,,S,S,,R
1313_5725,,S,,,,,,,,S,,R
1313_25935,,,,,,,S,,S,,,S
1313_32019,,,,R,,,S,,S,S,,S
1313_9977,,S,,R,,,,,,,,
1313_25899,,,,R,,,,,,,,
1313_30369,,,,,,,S,,R,R,,R
1313_27304,,,,R,,,S,,S,S,,R
1313_27113,,,,S,,,S,,S,S,,R
1313_22509,,,,R,,,S,,S,R,,R
1313_12125,,S,,R,,,,,,,,
1313_31767,,,,R,,,R,,R,S,,S
1313_30612,,,,R,,,S,,S,,,R
1313_46954,,R,S,R,,R,R,,,S,,R
1313_11682,,S,,R,,,,,,,,
1313_25581,,,,R,,,,,S,,,
1313_33119,,,,S,,,S,,S,S,,R
1313_24410,,,,,,,S,,S,,,R
1313_24050,,,,S,,,S,,,S,,R
1313_24948,,,,S,,,S,,S,S,,R
760838_3,R,R,S,S,S,S,R,S,R,S,S,S
1313_23008,,,,,,,R,,R,,,
1313_10125,,S,,R,,,,,,,,
1313_28055,,,,,,,S,,S,R,,
1313_20327,,,,R,,,R,,R,S,,S
1313_25232,,,,,,,S,,S,S,,R
1313_46905,,S,S,R,,S,S,,,S,,S
1313_24573,,,,S,,,R,,S,S,,S
1313_33074,,,,R,,,S,,S,,,R
1313_26075,,,,S,,,,,S,,,
1313_46575,,S,S,S,,S,R,,,S,,S
1313_20095,,,,S,,,S,,S,S,,S
1313_8625,,,,R,,,R,,R,S,,R
1313_17395,S,S,,S,,S,R,,S,,,S
1313_11007,,S,,R,,,,,,,,
1313_33432,,,,R,,,R,,R,R,,R
1313_24535,,,,S,,,S,,S,R,,S
1313_30948,,,,R,,,S,,S,S,,R
1313_25470,,,,R,,,,,S,,,
1313_10340,,S,,R,,,,,,,,
1313_26169,,,,R,,,S,,R,S,,R
1313_24145,,,,,,,R,,S,,,
1313_46773,,S,S,S,,R,R,,,S,,R
1313_11526,,S,,R,,,,,,,,
1313_47206,,S,S,S,,R,R,,,S,,R
1313_25297,,,,R,,,R,,S,S,,R
1313_6049,,R,,,,,S,,,S,,S
1313_26457,,,,R,,,S,,R,S,,R
1313_25835,,,,S,,,R,,S,S,,S
1313_8888,,,,R,,,R,,S,S,,S
1313_46667,,S,S,R,,S,R,,,S,,S
1313_33463,,,,S,,,S,,S,S,,S
1313_32589,,,,S,,,,,,,,
1313_17362,,,,S,,S,S,,S,,,S
1313_24320,,,,S,,,R,,R,S,,S
1313_24917,,,,R,,,S,,S,S,,R
1313_12433,,S,,R,,,,,,,,
1313_12878,,R,,R,,,,,,,,
1313_32186,,,,S,,,S,,S,S,,R
1313_12948,,S,,R,,,,,,,,
1313_17054,S,S,,S,,S,S,,,,,S
1313_24467,,,,,,,S,,S,,,R
1313_25114,,,,R,,,S,,R,,,R
1313_24974,,,,,,,S,,,S,,S
1313_31721,,,,R,,,S,,S,S,,S
1313_10675,,S,,R,,,,,,,,
1313_34265,,,,,,,,,R,R,,
1313_31935,,,,R,,,R,,S,S,,S
1313_32795,,,,S,,,R,,S,S,,R
1313_13041,,S,,R,,,,,,,,
1313_32645,,,,R,,,R,,R,S,,R
1313_32443,,,,S,,,S,,R,S,,R
1313_31690,,,,R,,,S,,S,S,,S
1313_24468,,,,R,,,R,,R,R,,R
