,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_25670,,,,R,,,R,,S,S,,R
1313_23432,,,,S,,,S,,S,S,,S
1313_10569,,S,,S,,,,,,,,
1313_32731,,,,R,,,S,,R,S,,R
1313_46776,,S,S,R,,S,S,,,S,,S
1313_24936,,,,S,,,S,,S,S,,R
1313_11721,,R,,R,,,,,,,,
1313_34293,,,,,,,,,S,S,,
1313_12050,,S,,R,,,,,,,,
1313_10722,,S,,R,,,,,,,,
1313_32808,,,,S,,,R,,S,R,,R
1313_25345,,,,S,,,S,,S,S,,S
1313_33272,,,,R,,,R,,R,S,,R
1313_46929,,S,S,S,,R,R,,,S,,R
1313_26038,,,,S,,,,,,,,
1313_23472,,,,S,,,R,,S,S,,R
1313_30818,,,,S,,,S,,S,S,,S
1313_46953,,S,S,R,,S,R,,,S,,S
760811_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_8669,,,,R,,,R,,R,S,,R
1313_33309,,,,R,,,S,,R,S,,S
1313_26930,,,,S,,,S,,S,S,,S
1313_42032,S,S,,S,,S,S,,S,,,S
1313_10089,,R,,R,,,,,,,,
1313_5691,,,,,,,R,,,R,,R
1313_31713,,,,R,,,R,,R,S,,S
1313_24357,,,,R,,,R,,R,S,,S
1313_31254,,,,R,,,S,,,S,,S
1313_22980,,,,,,,S,,R,S,,R
1313_32207,,,,S,,,S,,S,S,,R
1313_30401,,,,S,,,S,,S,S,,S
1313_33848,,,,S,,,S,,S,S,,S
1313_31186,,,,R,,,S,,S,S,,S
1313_11967,,S,,S,,,,,,,,
1313_41970,S,S,,S,,S,S,,S,,,S
1313_32498,,,,S,,,S,,S,S,,R
1313_27122,,,,S,,,S,,S,S,,R
1313_10120,,S,,R,,,,,,,,
1313_27267,,,,R,,,S,,R,S,,R
1313_29752,,,,S,,,S,,S,,,S
1313_17319,S,S,,S,,S,S,,S,,,S
1313_6965,,,,,,,,S,,,S,
1313_32897,,,,R,,,S,,S,,,R
1313_23452,,,,R,,,R,,S,S,,R
1313_12139,,S,,R,,,,,,,,
1313_26522,,,,R,,,S,,S,S,,R
1313_33555,,,,R,,,R,,R,S,,S
1313_32501,,,,S,,,R,,S,R,,R
1313_24436,,,,R,,,S,,S,R,,R
1313_25317,,,,S,,,S,,S,S,,S
1313_10025,,S,,S,,,,,,,,
1313_33837,,,,S,,,S,,S,S,,S
1313_29748,,,,R,,,R,,R,,,R
1313_23364,,,,R,,,S,,,S,,
1313_27177,,,,S,,,S,,S,S,,S
1313_31824,,,,S,,,S,,S,S,,S
1313_32969,,,,,,,S,,S,,,S
1313_20649,,,,R,,,S,,,S,,S
760840_3,S,S,S,R,S,S,R,S,R,S,S,R
1313_30121,,,,R,,,S,,S,S,,S
1313_30973,,,,S,,,S,,S,S,,S
1313_33455,,,,R,,,S,,S,S,,S
1313_12816,,S,,R,,,,,,,,
1313_46569,,S,S,R,,S,R,,,S,,S
1313_9070,,,,S,,,S,,S,S,,S
1313_17407,R,S,,S,,S,S,,S,,,S
1313_25747,,,,R,,,S,,R,S,,R
1313_31883,,,,S,,,S,,S,S,,S
1313_12733,,S,,S,,,,,,,,
1313_30763,,,,S,,,S,,S,S,,S
1313_17334,S,S,,S,,R,R,,R,,,R
1313_33042,,,,R,,,S,,R,S,,R
1313_30762,,,,R,,,S,,R,S,,S
1313_12142,,S,,R,,,,,,,,
1313_33780,,,,S,,,S,,S,S,,R
1313_41965,S,S,,S,,S,R,,S,,,S
1313_24840,,,,S,,,S,,S,S,,R
1313_10179,,S,,R,,,,,,,,
1313_6428,,S,,R,,,,,,,,
1313_24056,,,,R,,,S,,,S,,S
1313_24173,,,,,,,R,,,S,,R
1313_24129,,,,,,,R,,R,,,
1313_42049,S,S,,S,,S,S,,S,,,S
1313_47259,,S,S,S,,R,R,,,R,,R
1313_24935,,,,S,,,S,,S,S,,R
1313_33835,,,,S,,,S,,S,S,,S
1313_32796,,,,S,,,S,,S,S,,S
1313_32032,,,,R,,,R,,S,S,,S
1313_17387,S,S,,S,,S,S,,S,,,S
1313_30568,,,,,,,R,,R,,,
1313_29738,,,,R,,,R,,S,,,R
1313_11991,,S,,R,,,,,,,,
1313_27374,,,,R,,,S,,S,S,,S
1313_26674,,,,R,,,S,,S,S,,R
1313_23503,,,,S,,,R,,R,S,,R
1313_31920,,,,R,,,S,,R,S,,S
1313_25660,,,,S,,,,,,,,
1313_22935,,,,,,,S,,S,S,,S
1313_27033,,,,R,,,S,,S,S,,R
1313_25700,,,,R,,,S,,S,S,,R
1313_26722,,,,R,,,R,,S,S,,R
1313_20053,,,,R,,,S,,S,S,,R
1313_31990,,,,R,,,S,,S,S,,S
1313_26767,,,,S,,,S,,S,S,,S
1313_23497,,,,R,,,R,,R,S,,R
1313_22069,,,,S,,,S,,S,,,S
1313_5635,,S,,,,,S,,,S,,S
1313_10997,,S,,R,,,,,,,,
1313_6545,,R,,,,,R,,,S,,R
1313_25900,,,,R,,,,,S,,,
1313_30065,,,,R,,,S,,S,,,S
1313_30020,,,,R,,,S,,S,R,,R
1313_42042,S,S,,S,,S,S,,S,,,S
1313_32666,,,,R,,,R,,R,,,R
1313_23059,,,,S,,,S,,S,S,,R
1313_22758,,,,,,,S,,S,,,
1313_32899,,,,,,,S,,S,,,S
1313_29831,,,,S,,,S,,S,,,S
1313_26087,,,,R,,,,,S,,,
1313_25094,,,,R,,,,,S,,,
1313_32724,,,,S,,,S,,S,S,,R
1313_12776,,S,,R,,,,,,,,
1313_34162,,,,S,,,S,,S,S,,S
